,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.78, 11  /  14.1  /  6.2 ,51.7%,13.5%,163,0.1%,"6,948",Sentinel
1,2,Reyna,1.01, 14.7  /  14.6  /  4.6 ,49.3%,11.1%,218,0.1%,"5,675",Duelist
2,3,Raze,0.88, 13.1  /  14.8  /  4.8 ,48.6%,7.5%,201,0.1%,"3,871",Duelist
3,4,Jett,0.94, 13.8  /  14.7  /  4 ,50.2%,5.8%,204,0.1%,"2,979",Duelist
4,5,Killjoy,0.87, 11.9  /  13.8  /  4.2 ,50.0%,5.7%,180,0.2%,"2,924",Sentinel
5,6,Fade,0.77, 11.3  /  14.6  /  5.9 ,48.0%,5.5%,170,0.1%,"2,839",Initiator
6,7,Omen,0.85, 12.4  /  14.6  /  4.8 ,46.5%,5.4%,183,0.1%,"2,781",Controller
7,8,Yoru,0.86, 12.6  /  14.7  /  4.2 ,48.2%,4.8%,185,0.1%,"2,444",Duelist
8,9,Neon,0.86, 13.2  /  15.3  /  4.3 ,49.3%,4.6%,195,0.1%,"2,362",Duelist
9,10,Viper,0.83, 11.7  /  14  /  4.9 ,50.6%,4.5%,176,0.2%,"2,330",Controller
10,11,Phoenix,0.92, 13.4  /  14.5  /  4.3 ,48.9%,4.5%,199,0.1%,"2,328",Duelist
11,12,Brimstone,0.86, 12.2  /  14.2  /  6 ,50.6%,4.4%,182,0.1%,"2,264",Controller
12,13,Sova,0.82, 11.7  /  14.4  /  4.9 ,50.6%,3.9%,175,0.1%,"1,988",Initiator
13,14,Skye,0.78, 11.6  /  14.7  /  7 ,47.6%,3.6%,171,0.1%,"1,867",Initiator
14,15,KAY/O,0.77, 11.3  /  14.8  /  7.5 ,44.9%,3.4%,174,0.1%,"1,732",Initiator
15,16,Gekko,0.83, 11.9  /  14.3  /  4.4 ,48.8%,3.1%,176,0.1%,"1,579",Initiator
16,17,Cypher,0.88, 12.2  /  13.9  /  4.8 ,52.2%,2.7%,177,0.1%,"1,403",Sentinel
17,18,Breach,0.86, 12.6  /  14.6  /  5.6 ,49.7%,2.2%,189,0.1%,"1,142",Initiator
18,19,Chamber,0.93, 13.4  /  14.4  /  3.4 ,48.3%,1.9%,190,0.1%,949,Sentinel
19,20,Harbor,0.75, 10.6  /  14.2  /  4.8 ,44.6%,1.1%,163,0.1%,549,Controller
20,21,Astra,0.86, 11.8  /  13.6  /  4.5 ,45.9%,0.6%,173,0.1%,329,Controller
