,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.71, 9.8  /  13.9  /  5.7 ,50.0%,12.1%,149,0.1%,"30,346"
1,2,Reyna,0.95, 13.6  /  14.3  /  4.3 ,49.9%,10.6%,204,0.2%,"26,556"
2,3,Raze,0.87, 12.6  /  14.4  /  4.6 ,50.1%,7.8%,195,0.1%,"19,487"
3,4,Jett,0.88, 12.5  /  14.3  /  3.7 ,49.4%,6.1%,188,0.2%,"15,260"
4,5,Deadlock,0.81, 11.5  /  14.2  /  3.7 ,50.0%,5.9%,187,0.1%,"14,717"
5,6,Omen,0.79, 11.4  /  14.4  /  4.5 ,48.2%,5.7%,169,0.1%,"14,221"
6,7,Gekko,0.74, 10.6  /  14.3  /  4.3 ,49.7%,5.0%,158,0.1%,"12,611"
7,8,Yoru,0.81, 11.7  /  14.3  /  4 ,46.8%,5.0%,174,0.1%,"12,588"
8,9,Phoenix,0.86, 12.1  /  14.1  /  4.1 ,47.9%,4.9%,183,0.1%,"12,197"
9,10,Neon,0.8, 11.7  /  14.6  /  3.8 ,47.6%,4.4%,179,0.2%,"11,132"
10,11,Brimstone,0.82, 11.4  /  13.9  /  5.5 ,49.9%,4.1%,174,0.1%,"10,212"
11,12,Skye,0.75, 10.4  /  13.9  /  6.5 ,50.9%,4.0%,159,0.1%,"9,992"
12,13,Killjoy,0.79, 10.8  /  13.6  /  3.9 ,50.4%,3.8%,165,0.1%,"9,625"
13,14,Fade,0.72, 10.3  /  14.3  /  5.8 ,49.8%,3.8%,156,0.1%,"9,528"
14,15,Sova,0.76, 10.8  /  14.1  /  4.6 ,48.1%,3.7%,164,0.1%,"9,348"
15,16,Viper,0.76, 10.7  /  14.1  /  4.5 ,49.5%,3.2%,162,0.1%,"8,129"
16,17,Cypher,0.81, 11  /  13.6  /  4.5 ,49.1%,2.4%,163,0.1%,"6,062"
17,18,KAY/O,0.73, 10.5  /  14.4  /  7.1 ,47.9%,2.4%,163,0.1%,"6,049"
18,19,Chamber,0.85, 11.8  /  13.9  /  3.3 ,48.5%,2.0%,175,0.1%,"5,050"
19,20,Breach,0.84, 11.7  /  14  /  5.2 ,50.8%,1.9%,178,0.1%,"4,855"
20,21,Harbor,0.73, 10.3  /  14.2  /  4.7 ,48.1%,0.8%,156,0.1%,"2,057"
21,22,Astra,0.86, 11.5  /  13.5  /  4.2 ,46.4%,0.5%,173,0.1%,"1,177"
