,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.4  /  16.2  /  3.6 ,48.9%,12.9%,239,0.2%,"142,489",Duelist
1,2,Omen,1.0, 15.1  /  15.1  /  8.2 ,49.0%,11.5%,207,0.1%,"126,977",Controller
2,3,Raze,1.05, 17  /  16.2  /  4.9 ,50.0%,11.4%,244,0.2%,"125,644",Duelist
3,4,Skye,0.96, 14.5  /  15.1  /  8 ,49.9%,10.7%,199,0.1%,"118,482",Initiator
4,5,Sage,0.97, 14.6  /  15  /  7.4 ,51.3%,10.0%,201,0.1%,"110,453",Sentinel
5,6,Reyna,1.12, 17.6  /  15.8  /  4.3 ,49.5%,8.3%,241,0.2%,"91,330",Duelist
6,7,Cypher,1.02, 14.9  /  14.7  /  4.6 ,48.9%,5.5%,201,0.1%,"61,204",Sentinel
7,8,Deadlock,1.03, 15.5  /  15.2  /  3.9 ,48.9%,4.2%,221,0.1%,"46,675",Sentinel
8,9,Killjoy,1.03, 15  /  14.6  /  3.6 ,48.7%,4.1%,205,0.1%,"44,978",Sentinel
9,10,Astra,1.05, 15.5  /  14.7  /  7.3 ,49.7%,3.8%,210,0.1%,"42,435",Controller
10,11,Brimstone,0.99, 14.9  /  15  /  9.8 ,51.8%,3.2%,210,0.1%,"35,800",Controller
11,12,Chamber,1.08, 16.5  /  15.2  /  2.8 ,47.9%,2.9%,221,0.2%,"31,964",Sentinel
12,13,Breach,0.95, 14.5  /  15.3  /  7.6 ,48.6%,2.4%,199,0.1%,"26,318",Initiator
13,14,Phoenix,1.09, 17.1  /  15.7  /  4.7 ,49.5%,1.7%,237,0.2%,"19,332",Duelist
14,15,KAY/O,0.93, 14.5  /  15.6  /  9.1 ,44.7%,1.6%,205,0.1%,"17,778",Initiator
15,16,Fade,0.97, 14.8  /  15.2  /  6.3 ,49.1%,1.2%,201,0.1%,"13,424",Initiator
16,17,Gekko,0.95, 14.5  /  15.2  /  4.7 ,47.7%,1.2%,196,0.1%,"13,028",Initiator
17,18,Viper,1.05, 15.6  /  14.9  /  5.7 ,48.4%,0.9%,215,0.1%,"10,367",Controller
18,19,Yoru,1.04, 16.3  /  15.7  /  4.4 ,47.7%,0.9%,224,0.2%,"10,248",Duelist
19,20,Sova,0.99, 14.8  /  14.9  /  5.5 ,47.2%,0.9%,207,0.1%,"9,639",Initiator
20,21,Neon,0.97, 16  /  16.5  /  4.1 ,47.2%,0.5%,223,0.2%,"5,775",Duelist
21,22,Harbor,0.92, 14.2  /  15.5  /  6.5 ,44.5%,0.1%,195,"1,650",,Controller
