,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.92, 13.4  /  14.6  /  7.4 ,49.9%,12.6%,191,0.1%,"35,030",Sentinel
1,2,Reyna,1.17, 17.9  /  15.3  /  4.7 ,51.3%,11.7%,254,0.1%,"32,644",Duelist
2,3,Raze,1.06, 16.6  /  15.6  /  5.1 ,50.1%,7.9%,243,0.1%,"21,979",Duelist
3,4,Omen,0.99, 15  /  15.1  /  6.2 ,48.4%,7.7%,211,0.1%,"21,428",Controller
4,5,Jett,1.08, 16.9  /  15.6  /  4.1 ,49.4%,7.0%,240,0.1%,"19,446",Duelist
5,6,Killjoy,1.01, 14.3  /  14.2  /  4.2 ,50.5%,6.7%,205,0.2%,"18,824",Sentinel
6,7,Brimstone,0.97, 14.4  /  14.8  /  7.8 ,50.8%,5.2%,209,0.1%,"14,394",Controller
7,8,Gekko,0.95, 14.2  /  14.9  /  4.9 ,50.7%,5.0%,199,0.1%,"13,810",Initiator
8,9,Cypher,1.01, 14.5  /  14.4  /  5.1 ,49.3%,4.4%,203,0.1%,"12,169",Sentinel
9,10,Skye,0.93, 13.9  /  15  /  7.8 ,48.8%,4.3%,199,0.1%,"12,083",Initiator
10,11,Viper,0.98, 14.3  /  14.6  /  5.5 ,48.4%,3.5%,204,0.1%,"9,632",Controller
11,12,Fade,0.94, 14.2  /  15.1  /  6.1 ,49.0%,3.4%,200,0.1%,"9,496",Initiator
12,13,Phoenix,1.1, 16.6  /  15.2  /  4.8 ,50.2%,3.3%,240,0.1%,"9,333",Duelist
13,14,KAY/O,0.91, 13.9  /  15.2  /  8.1 ,46.4%,3.2%,203,0.1%,"8,809",Initiator
14,15,Sova,0.97, 14.4  /  14.8  /  5.2 ,48.0%,2.9%,206,0.1%,"8,164",Initiator
15,16,Breach,0.94, 14.4  /  15.4  /  6 ,49.9%,2.5%,205,0.1%,"6,864",Initiator
16,17,Neon,0.99, 15.9  /  16.1  /  4.3 ,47.8%,2.2%,228,0.1%,"6,232",Duelist
17,18,Yoru,1.01, 15.5  /  15.4  /  4.5 ,47.8%,2.0%,219,0.1%,"5,702",Duelist
18,19,Chamber,1.06, 15.9  /  15  /  3.4 ,46.5%,2.0%,221,0.1%,"5,546",Sentinel
19,20,Astra,1.04, 15.1  /  14.6  /  5.9 ,49.4%,1.6%,210,0.1%,"4,468",Controller
20,21,Harbor,0.92, 13.9  /  15.1  /  5.5 ,46.5%,1.0%,197,0.1%,"2,884",Controller
