,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.86, 12.4  /  14.4  /  6.9 ,49.8%,12.7%,179,0.1%,"35,500",Sentinel
1,2,Reyna,1.13, 16.9  /  14.9  /  4.8 ,50.3%,12.0%,244,0.1%,"33,307",Duelist
2,3,Jett,1.05, 15.9  /  15.2  /  4.1 ,49.4%,6.9%,230,0.1%,"19,184",Duelist
3,4,Raze,1.0, 15.1  /  15.1  /  4.9 ,50.2%,6.3%,226,0.1%,"17,521",Duelist
4,5,Killjoy,0.95, 13.2  /  13.9  /  4.4 ,50.5%,6.1%,194,0.2%,"17,105",Sentinel
5,6,Omen,0.94, 13.9  /  14.8  /  5.5 ,48.5%,5.7%,200,0.1%,"15,788",Controller
6,7,Fade,0.9, 13.2  /  14.7  /  6.3 ,49.9%,5.7%,192,0.1%,"15,786",Initiator
7,8,Viper,0.94, 13.5  /  14.4  /  5.7 ,49.4%,5.3%,196,0.1%,"14,788",Controller
8,9,Skye,0.89, 13.1  /  14.7  /  7.5 ,49.2%,4.5%,191,0.1%,"12,473",Initiator
9,10,Brimstone,0.95, 13.7  /  14.5  /  7 ,51.2%,4.3%,201,0.1%,"12,071",Controller
10,11,Phoenix,1.04, 15.5  /  14.9  /  4.7 ,49.5%,4.3%,225,0.1%,"11,910",Duelist
11,12,Sova,0.92, 13.4  /  14.5  /  5.3 ,47.6%,4.1%,195,0.1%,"11,400",Initiator
12,13,KAY/O,0.86, 13  /  15.1  /  8 ,46.5%,3.8%,193,0.1%,"10,637",Initiator
13,14,Cypher,0.95, 13.4  /  14.1  /  5 ,47.8%,3.5%,190,0.2%,"9,826",Sentinel
14,15,Neon,0.97, 15.1  /  15.6  /  4.4 ,47.6%,3.4%,221,0.1%,"9,528",Duelist
15,16,Yoru,0.96, 14.4  /  15.1  /  4.3 ,46.8%,3.1%,208,0.1%,"8,514",Duelist
16,17,Chamber,1.03, 14.9  /  14.4  /  3.5 ,47.5%,2.9%,210,0.1%,"8,133",Sentinel
17,18,Harbor,0.86, 12.8  /  14.9  /  5.7 ,47.7%,2.1%,185,0.1%,"5,751",Controller
18,19,Breach,0.9, 13.6  /  15  /  5.8 ,47.7%,2.0%,198,0.1%,"5,478",Initiator
19,20,Astra,1.01, 14.1  /  14  /  5.5 ,50.6%,1.4%,201,0.1%,"3,856",Controller
