,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.06, 17.1  /  16.1  /  4.7 ,50.0%,14.0%,243,0.2%,"60,161",Duelist
1,2,Brimstone,0.99, 14.8  /  14.9  /  9 ,50.5%,13.4%,205,0.1%,"57,556",Controller
2,3,Skye,0.96, 14.5  /  15  /  7.7 ,50.1%,13.2%,196,0.1%,"56,968",Initiator
3,4,Jett,1.09, 17.6  /  16.1  /  3.4 ,49.5%,12.6%,237,0.2%,"54,077",Duelist
4,5,Reyna,1.14, 17.9  /  15.7  /  4.1 ,50.6%,7.5%,241,0.2%,"32,299",Duelist
5,6,Cypher,1.01, 14.7  /  14.6  /  4.4 ,49.5%,6.2%,195,0.1%,"26,860",Sentinel
6,7,Chamber,1.09, 16.4  /  15  /  2.5 ,48.7%,5.8%,215,0.2%,"25,045",Sentinel
7,8,Deadlock,1.02, 15.5  /  15.1  /  3.8 ,49.2%,4.3%,207,0.1%,"18,713",Sentinel
8,9,Sage,0.96, 14.3  /  14.9  /  6.8 ,51.9%,3.5%,194,0.1%,"15,092",Sentinel
9,10,Omen,0.98, 15  /  15.3  /  7.9 ,47.3%,3.5%,204,0.1%,"14,887",Controller
10,11,Sova,1.02, 15  /  14.7  /  5.8 ,49.8%,3.3%,206,0.1%,"14,159",Initiator
11,12,Killjoy,1.0, 14.5  /  14.5  /  3.2 ,48.3%,2.6%,196,0.1%,"11,378",Sentinel
12,13,Phoenix,1.11, 17.2  /  15.5  /  4.4 ,50.8%,1.7%,237,0.2%,"7,305",Duelist
13,14,Fade,0.98, 14.8  /  15.1  /  6.6 ,48.7%,1.7%,200,0.1%,"7,122",Initiator
14,15,Yoru,1.06, 16.8  /  15.9  /  4.3 ,49.6%,1.5%,228,0.2%,"6,622",Duelist
15,16,Viper,1.06, 15.8  /  14.8  /  5.7 ,51.0%,1.4%,215,0.1%,"5,986",Controller
16,17,Astra,1.02, 15.1  /  14.8  /  7.1 ,49.2%,1.3%,203,0.1%,"5,505",Controller
17,18,Gekko,0.97, 14.6  /  15.1  /  4.6 ,49.9%,0.7%,194,0.1%,"3,218",Initiator
18,19,Breach,0.96, 14.7  /  15.4  /  7.5 ,48.2%,0.6%,200,0.1%,"2,720",Initiator
19,20,KAY/O,0.92, 14.5  /  15.7  /  9.3 ,44.8%,0.5%,203,0.1%,"2,345",Initiator
20,21,Neon,1.02, 16.4  /  16.1  /  3.9 ,50.9%,0.3%,226,0.2%,"1,415",Duelist
21,22,Harbor,0.94, 14.4  /  15.3  /  6.3 ,47.2%,0.3%,191,0.1%,"1,093",Controller
