,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 18  /  15.4  /  4.6 ,50.3%,12.5%,254,0.1%,"45,307"
1,2,Killjoy,1.01, 14.3  /  14.1  /  4.1 ,49.8%,10.3%,203,0.2%,"37,282"
2,3,Jett,1.11, 17.4  /  15.6  /  3.9 ,49.7%,9.8%,245,0.1%,"35,451"
3,4,Sage,0.92, 13.5  /  14.6  /  7.1 ,50.2%,9.6%,191,0.1%,"34,867"
4,5,Omen,1, 15  /  15  /  7.1 ,49.8%,8.3%,210,0.1%,"30,158"
5,6,Sova,1.02, 14.8  /  14.5  /  5.8 ,50.4%,6.9%,210,0.1%,"24,897"
6,7,Raze,1.05, 16.4  /  15.6  /  5.1 ,49.9%,6.5%,241,0.1%,"23,442"
7,8,Brimstone,0.98, 14.5  /  14.7  /  8.4 ,52.0%,5.8%,210,0.1%,"20,922"
8,9,Phoenix,1.14, 17.2  /  15.2  /  4.8 ,51.7%,3.8%,246,0.1%,"13,827"
9,10,KAY/O,0.92, 14.1  /  15.3  /  8.3 ,47.6%,3.8%,203,0.1%,"13,623"
10,11,Fade,0.95, 14.2  /  15  /  6.3 ,49.5%,3.7%,200,0.1%,"13,514"
11,12,Skye,0.93, 13.8  /  15  /  7.6 ,47.2%,3.5%,198,0.1%,"12,864"
12,13,Cypher,1.01, 14.4  /  14.3  /  5.1 ,49.1%,3.0%,201,0.1%,"10,742"
13,14,Viper,0.98, 14.2  /  14.5  /  5.4 ,48.7%,2.6%,202,0.1%,"9,463"
14,15,Chamber,1.1, 16.2  /  14.7  /  3.1 ,48.7%,2.4%,224,0.1%,"8,659"
15,16,Neon,0.99, 15.9  /  16.1  /  4.2 ,45.2%,1.9%,227,0.1%,"6,965"
16,17,Breach,0.95, 14.3  /  15.1  /  6.2 ,48.3%,1.9%,205,0.1%,"6,904"
17,18,Astra,1.05, 15.3  /  14.5  /  6.7 ,50.0%,1.5%,212,0.1%,"5,510"
18,19,Yoru,1, 15.5  /  15.5  /  4.3 ,46.5%,1.5%,218,0.1%,"5,504"
19,20,Harbor,0.93, 14  /  15  /  5.7 ,44.8%,0.8%,199,0.1%,"2,889"
