,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.13, 18.1  /  16  /  3.4 ,50.6%,16.9%,242,0.1%,"19,582",Duelist
1,2,Brimstone,1.05, 15.8  /  15.1  /  10.6 ,50.5%,16.0%,215,0.1%,"18,453",Controller
2,3,Breach,0.97, 14.8  /  15.2  /  8.4 ,49.6%,15.1%,198,0.1%,"17,445",Initiator
3,4,Raze,1.08, 17.4  /  16.2  /  4.4 ,49.8%,12.8%,242,0.1%,"14,779",Duelist
4,5,Killjoy,1.11, 16.3  /  14.6  /  3.3 ,50.1%,10.8%,216,0.1%,"12,484",Sentinel
5,6,Cypher,1.08, 16.1  /  15  /  4.4 ,48.9%,6.1%,211,0.1%,"7,046",Sentinel
6,7,Reyna,1.17, 18.3  /  15.6  /  4.3 ,51.2%,5.4%,245,0.1%,"6,225",Duelist
7,8,Fade,1.07, 16  /  15  /  6.5 ,52.8%,2.8%,212,0.1%,"3,211",Initiator
8,9,Chamber,1.17, 17.7  /  15.2  /  2.5 ,49.8%,2.5%,230,0.1%,"2,927",Sentinel
9,10,Sage,1.01, 15.3  /  15.1  /  6.7 ,53.2%,2.2%,205,0.1%,"2,573",Sentinel
10,11,Skye,1.03, 15.1  /  14.7  /  7.7 ,49.9%,1.8%,205,0.1%,"2,117",Initiator
11,12,Neon,1.02, 16.9  /  16.7  /  4.3 ,50.3%,1.7%,231,0.1%,"2,007",Duelist
12,13,Viper,1.09, 16.5  /  15.1  /  5.8 ,47.7%,1.7%,222,0.1%,"1,989",Controller
13,14,Gekko,1.02, 15.2  /  15  /  4.8 ,48.9%,1.1%,201,0.1%,"1,271",Initiator
14,15,KAY/O,0.96, 15  /  15.7  /  10.5 ,44.4%,1.1%,209,0.1%,"1,221",Initiator
15,16,Yoru,1.05, 17.1  /  16.2  /  4.7 ,49.3%,0.9%,227,0.1%,"1,096",Duelist
16,17,Phoenix,1.15, 17.9  /  15.5  /  4.5 ,53.2%,0.8%,240,0.1%,894,Duelist
17,18,Sova,1.12, 17  /  15.1  /  5.3 ,41.9%,0.1%,225,124,,Initiator
18,19,Omen,1.14, 16.7  /  14.7  /  8.3 ,36.2%,0.0%,228,0.1%,47,Controller
19,20,Astra,1.11, 16  /  14.4  /  7.8 ,46.5%,0.0%,218,0.1%,43,Controller
