,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.05, 17  /  16.1  /  4.8 ,49.9%,12.6%,242,0.2%,"180,737",Duelist
1,2,Brimstone,0.98, 14.6  /  14.9  /  8.5 ,50.6%,11.4%,204,0.1%,"162,718",Controller
2,3,Skye,0.96, 14.4  /  15.1  /  7.6 ,49.8%,11.4%,197,0.1%,"162,679",Initiator
3,4,Jett,1.09, 17.4  /  16  /  3.4 ,48.6%,10.9%,237,0.2%,"155,511",Duelist
4,5,Reyna,1.14, 17.8  /  15.6  /  4.2 ,49.9%,8.7%,242,0.2%,"124,502",Duelist
5,6,Cypher,0.99, 14.5  /  14.6  /  4.5 ,48.7%,5.4%,193,0.1%,"76,950",Sentinel
6,7,Chamber,1.08, 16.2  /  14.9  /  2.6 ,48.7%,5.2%,214,0.2%,"74,958",Sentinel
7,8,Omen,0.98, 14.8  /  15.2  /  7.4 ,47.8%,5.1%,202,0.1%,"72,557",Controller
8,9,Deadlock,1.0, 15.2  /  15.1  /  3.8 ,49.0%,4.7%,207,0.1%,"66,844",Sentinel
9,10,Sage,0.94, 14  /  14.9  /  6.7 ,51.6%,4.6%,191,0.1%,"66,058",Sentinel
10,11,Killjoy,0.99, 14.3  /  14.4  /  3.4 ,49.0%,3.5%,195,0.1%,"50,673",Sentinel
11,12,Sova,1.01, 14.8  /  14.7  /  5.7 ,49.2%,3.2%,205,0.1%,"45,483",Initiator
12,13,Phoenix,1.11, 17.2  /  15.6  /  4.4 ,50.9%,2.3%,237,0.2%,"33,652",Duelist
13,14,Fade,0.97, 14.6  /  15.1  /  6.4 ,49.1%,2.1%,198,0.1%,"29,562",Initiator
14,15,Viper,1.03, 15.3  /  14.9  /  5.6 ,48.9%,1.7%,210,0.1%,"24,394",Controller
15,16,Yoru,1.04, 16.5  /  15.8  /  4.2 ,48.0%,1.4%,226,0.2%,"20,475",Duelist
16,17,Gekko,0.95, 14.3  /  15.1  /  4.6 ,49.1%,1.4%,192,0.1%,"19,919",Initiator
17,18,Astra,1.02, 15.1  /  14.8  /  6.6 ,48.0%,1.4%,203,0.1%,"19,881",Controller
18,19,Breach,0.93, 14.4  /  15.5  /  6.8 ,46.5%,1.2%,198,0.1%,"17,310",Initiator
19,20,KAY/O,0.93, 14.5  /  15.6  /  8.9 ,44.7%,1.1%,203,0.1%,"15,530",Initiator
20,21,Neon,0.99, 16.3  /  16.4  /  3.9 ,45.7%,0.5%,223,0.2%,"6,992",Duelist
21,22,Harbor,0.92, 14.3  /  15.4  /  5.9 ,42.1%,0.3%,193,0.1%,"4,824",Controller
