,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.06, 17  /  16.1  /  4.8 ,49.8%,12.4%,243,0.1%,"560,406",Duelist
1,2,Jett,1.08, 17.4  /  16  /  3.5 ,48.7%,10.6%,237,0.1%,"478,385",Duelist
2,3,Brimstone,0.98, 14.7  /  14.9  /  8.3 ,50.9%,10.3%,205,0.1%,"463,240",Controller
3,4,Skye,0.96, 14.5  /  15.1  /  7.6 ,49.5%,9.8%,198,0.1%,"442,330",Initiator
4,5,Reyna,1.14, 17.9  /  15.6  /  4.2 ,50.0%,8.4%,244,0.1%,"381,486",Duelist
5,6,Sage,0.94, 14  /  14.9  /  6.9 ,51.1%,6.6%,191,0.1%,"298,551",Sentinel
6,7,Omen,0.97, 14.8  /  15.3  /  7.2 ,47.5%,5.7%,203,0.1%,"258,263",Controller
7,8,Cypher,0.99, 14.5  /  14.6  /  4.6 ,48.8%,5.5%,194,0.1%,"250,276",Sentinel
8,9,Killjoy,0.99, 14.3  /  14.4  /  3.5 ,49.0%,5.5%,196,0.1%,"247,317",Sentinel
9,10,Chamber,1.08, 16.1  /  15  /  2.7 ,48.5%,4.5%,214,0.1%,"202,620",Sentinel
10,11,Sova,1.01, 14.8  /  14.8  /  5.7 ,49.3%,3.8%,205,0.1%,"170,565",Initiator
11,12,Fade,0.96, 14.6  /  15.1  /  6.4 ,48.8%,2.8%,199,0.1%,"126,953",Initiator
12,13,Phoenix,1.11, 17.3  /  15.6  /  4.4 ,50.4%,2.5%,238,0.1%,"112,870",Duelist
13,14,Viper,1.03, 15.2  /  14.8  /  5.6 ,49.1%,2.4%,209,0.1%,"106,135",Controller
14,15,Gekko,0.95, 14.4  /  15.2  /  4.7 ,49.1%,2.3%,194,0.1%,"104,205",Initiator
15,16,KAY/O,0.91, 14.3  /  15.6  /  8.8 ,44.3%,1.6%,201,0.1%,"72,578",Initiator
16,17,Astra,1.03, 15.2  /  14.8  /  6.5 ,48.7%,1.5%,205,0.1%,"67,710",Controller
17,18,Breach,0.93, 14.4  /  15.5  /  6.7 ,46.7%,1.3%,198,0.1%,"59,902",Initiator
18,19,Yoru,1.04, 16.5  /  15.9  /  4.4 ,48.2%,1.3%,226,0.1%,"57,022",Duelist
19,20,Harbor,0.91, 14  /  15.3  /  6 ,44.9%,0.6%,190,0.1%,"28,342",Controller
20,21,Neon,0.97, 15.9  /  16.4  /  4 ,46.7%,0.6%,220,0.1%,"26,504",Duelist
