,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.1, 17.3  /  15.8  /  3.9 ,49.1%,12.1%,241,0.1%,"25,598",Duelist
1,2,Reyna,1.16, 18.1  /  15.6  /  4.6 ,49.8%,11.3%,252,0.1%,"24,092",Duelist
2,3,Sage,0.92, 13.6  /  14.8  /  7.2 ,50.2%,8.5%,190,0.1%,"18,017",Sentinel
3,4,Fade,0.97, 14.7  /  15.1  /  6.6 ,49.6%,8.1%,204,0.1%,"17,155",Initiator
4,5,Viper,0.99, 14.6  /  14.7  /  6 ,49.0%,6.7%,205,0.1%,"14,131",Controller
5,6,Killjoy,1.02, 14.5  /  14.2  /  4 ,50.5%,5.6%,203,0.2%,"11,832",Sentinel
6,7,Raze,1.06, 16.7  /  15.8  /  4.8 ,50.5%,5.0%,242,0.1%,"10,645",Duelist
7,8,Cypher,1.02, 14.6  /  14.4  /  4.9 ,49.6%,4.8%,201,0.2%,"10,182",Sentinel
8,9,Skye,0.95, 14.3  /  15.1  /  7.7 ,49.8%,4.6%,201,0.1%,"9,772",Initiator
9,10,Phoenix,1.15, 17.7  /  15.4  /  5 ,52.4%,4.3%,249,0.1%,"9,158",Duelist
10,11,KAY/O,0.93, 14.5  /  15.6  /  8.6 ,46.2%,3.9%,206,0.1%,"8,381",Initiator
11,12,Astra,1.06, 15.1  /  14.3  /  6.4 ,51.2%,3.9%,207,0.2%,"8,301",Controller
12,13,Brimstone,0.96, 14.4  /  14.9  /  8.3 ,50.9%,3.6%,205,0.1%,"7,701",Controller
13,14,Chamber,1.1, 16.3  /  14.8  /  3 ,48.7%,3.5%,220,0.1%,"7,479",Sentinel
14,15,Harbor,0.91, 13.7  /  15.1  /  6.2 ,47.9%,3.3%,190,0.1%,"6,966",Controller
15,16,Omen,0.96, 14.7  /  15.4  /  6.6 ,47.4%,3.1%,205,0.1%,"6,527",Controller
16,17,Sova,1.01, 14.7  /  14.6  /  5.7 ,50.7%,2.9%,206,0.2%,"6,095",Initiator
17,18,Neon,0.97, 16.1  /  16.5  /  4.3 ,46.5%,1.8%,227,0.1%,"3,835",Duelist
18,19,Breach,0.94, 14.5  /  15.5  /  6.6 ,45.7%,1.8%,204,0.1%,"3,722",Initiator
19,20,Yoru,1.04, 16.2  /  15.6  /  4.4 ,47.1%,1.3%,224,0.1%,"2,806",Duelist
