,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.2, 18.1  /  15.1  /  4.7 ,50.9%,12.6%,258,0.1%,"44,945"
1,2,Sage,0.89, 13  /  14.6  /  7 ,50.0%,11.2%,185,0.1%,"40,042"
2,3,Jett,1.12, 17.2  /  15.4  /  4 ,49.1%,8.5%,243,0.1%,"30,574"
3,4,Killjoy,0.99, 13.9  /  14  /  4.2 ,50.0%,6.0%,201,0.2%,"21,484"
4,5,Fade,0.96, 14.2  /  14.8  /  6.3 ,50.3%,5.8%,202,0.1%,"20,816"
5,6,Raze,1.04, 16.1  /  15.5  /  4.9 ,49.0%,5.7%,237,0.1%,"20,568"
6,7,Viper,0.99, 14.3  /  14.5  /  5.8 ,49.4%,5.7%,204,0.1%,"20,564"
7,8,Omen,0.98, 14.7  /  15  /  5.9 ,48.2%,5.1%,208,0.1%,"18,261"
8,9,Brimstone,0.96, 14.2  /  14.7  /  7.5 ,49.7%,4.6%,205,0.1%,"16,335"
9,10,Skye,0.93, 13.8  /  14.9  /  7.5 ,49.0%,4.4%,197,0.1%,"15,735"
10,11,Phoenix,1.13, 17  /  15.1  /  4.8 ,50.8%,4.1%,243,0.1%,"14,661"
11,12,KAY/O,0.91, 13.9  /  15.3  /  8.2 ,46.8%,3.8%,203,0.1%,"13,744"
12,13,Cypher,1, 14.1  /  14.1  /  5 ,49.3%,3.8%,197,0.2%,"13,463"
13,14,Sova,0.98, 14.2  /  14.5  /  5.5 ,48.8%,3.6%,205,0.1%,"12,957"
14,15,Chamber,1.09, 15.8  /  14.5  /  3.3 ,47.7%,3.3%,218,0.1%,"11,932"
15,16,Neon,1.02, 16.2  /  16  /  4.4 ,49.0%,2.9%,233,0.1%,"10,245"
16,17,Harbor,0.89, 13.4  /  15  /  5.8 ,46.3%,2.4%,190,0.1%,"8,485"
17,18,Yoru,0.99, 15.3  /  15.4  /  4.4 ,45.8%,2.2%,217,0.1%,"7,869"
18,19,Breach,0.94, 14.4  /  15.3  /  6.1 ,48.1%,2.1%,206,0.1%,"7,634"
19,20,Astra,1.05, 14.9  /  14.2  /  5.8 ,50.8%,2.1%,208,0.1%,"7,589"
