,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.4  /  15.9  /  3.7 ,49.4%,12.6%,240,0.1%,"615,446"
1,2,Brimstone,0.99, 14.6  /  14.8  /  9 ,51.0%,11.6%,206,0.1%,"565,575"
2,3,Breach,0.94, 14.4  /  15.3  /  7.1 ,48.9%,10.0%,198,0.1%,"486,586"
3,4,Reyna,1.15, 17.9  /  15.5  /  4.4 ,50.4%,9.5%,245,0.1%,"464,456"
4,5,Killjoy,1.01, 14.6  /  14.4  /  3.8 ,50.3%,8.2%,201,0.1%,"401,026"
5,6,Raze,1.06, 16.7  /  15.8  /  4.7 ,49.6%,7.0%,238,0.1%,"340,473"
6,7,Sage,0.92, 13.7  /  14.9  /  6.9 ,49.8%,5.5%,190,0.1%,"270,622"
7,8,Cypher,1.01, 14.8  /  14.7  /  4.8 ,49.0%,4.4%,201,0.1%,"213,833"
8,9,Chamber,1.09, 16.4  /  15  /  2.9 ,48.5%,4.1%,219,0.1%,"199,427"
9,10,Skye,0.94, 14.2  /  15.1  /  7.4 ,49.1%,3.9%,196,0.1%,"191,259"
10,11,Viper,0.99, 14.6  /  14.8  /  5.8 ,48.4%,3.4%,202,0.1%,"165,351"
11,12,Omen,0.95, 14.6  /  15.3  /  7.1 ,45.9%,3.1%,201,0.1%,"149,922"
12,13,Gekko,0.93, 14.1  /  15.1  /  4.8 ,48.8%,2.9%,191,0.1%,"140,036"
13,14,Fade,0.96, 14.4  /  15  /  6.3 ,49.0%,2.9%,198,0.1%,"139,743"
14,15,KAY/O,0.92, 14.3  /  15.6  /  9.1 ,45.3%,2.4%,202,0.1%,"119,341"
15,16,Neon,1, 16.4  /  16.4  /  4.3 ,47.9%,2.4%,229,0.1%,"117,985"
16,17,Phoenix,1.11, 17  /  15.4  /  4.6 ,50.6%,2.2%,236,0.1%,"109,462"
17,18,Astra,1.02, 15.1  /  14.8  /  6.6 ,47.6%,1.1%,206,0.1%,"53,662"
18,19,Sova,0.96, 14.4  /  15  /  5.5 ,47.2%,1.1%,202,0.1%,"52,493"
19,20,Yoru,1, 15.7  /  15.7  /  4.5 ,46.6%,1.0%,217,0.1%,"49,159"
20,21,Harbor,0.9, 13.8  /  15.3  /  6.2 ,44.3%,0.7%,190,0.1%,"34,397"
