,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.18, 18.1  /  15.4  /  4.6 ,51.2%,11.4%,253,0.1%,"28,263"
1,2,Sage,0.91, 13.3  /  14.7  /  7.1 ,50.2%,8.8%,188,0.1%,"22,005"
2,3,Brimstone,0.99, 14.6  /  14.7  /  8.2 ,50.6%,8.8%,208,0.1%,"21,850"
3,4,Jett,1.11, 17.3  /  15.6  /  3.9 ,49.9%,8.5%,243,0.1%,"21,081"
4,5,Killjoy,1, 14.3  /  14.3  /  4.2 ,50.7%,7.5%,202,0.2%,"18,529"
5,6,Breach,0.94, 14.4  /  15.3  /  6.4 ,49.3%,6.9%,202,0.1%,"17,256"
6,7,Raze,1.05, 16.5  /  15.7  /  4.9 ,49.3%,6.2%,240,0.1%,"15,309"
7,8,Gekko,0.95, 14.2  /  14.9  /  4.9 ,49.8%,5.5%,195,0.1%,"13,571"
8,9,Viper,0.98, 14.3  /  14.6  /  5.6 ,50.3%,4.2%,202,0.2%,"10,392"
9,10,Omen,0.96, 14.5  /  15.2  /  6.3 ,46.9%,4.2%,204,0.1%,"10,389"
10,11,Cypher,1, 14.4  /  14.4  /  4.9 ,48.0%,3.8%,200,0.1%,"9,541"
11,12,Fade,0.94, 14.1  /  14.9  /  6.2 ,49.7%,3.8%,198,0.1%,"9,363"
12,13,Neon,1.03, 16.6  /  16.2  /  4.4 ,48.5%,3.2%,235,0.1%,"8,043"
13,14,Skye,0.94, 14.1  /  15  /  7.3 ,48.3%,3.2%,198,0.1%,"8,038"
14,15,Phoenix,1.11, 16.9  /  15.2  /  4.6 ,48.9%,2.9%,240,0.1%,"7,221"
15,16,KAY/O,0.91, 14.1  /  15.5  /  8.6 ,45.6%,2.9%,204,0.1%,"7,186"
16,17,Chamber,1.08, 16.1  /  15  /  3.3 ,49.2%,2.7%,220,0.1%,"6,655"
17,18,Sova,0.96, 14.3  /  15  /  5.5 ,47.9%,1.9%,204,0.1%,"4,656"
18,19,Yoru,1.03, 15.9  /  15.5  /  4.4 ,46.9%,1.5%,222,0.1%,"3,727"
19,20,Astra,1.04, 15.1  /  14.5  /  6 ,46.9%,1.2%,211,0.1%,"2,870"
20,21,Harbor,0.9, 13.7  /  15.2  /  5.8 ,46.7%,1.1%,191,0.1%,"2,704"
