,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.06, 16.9  /  15.9  /  4.8 ,49.8%,11.1%,244,0.1%,"788,945"
1,2,Reyna,1.16, 17.9  /  15.5  /  4.3 ,50.1%,10.1%,247,0.1%,"718,984"
2,3,Jett,1.1, 17.4  /  15.8  /  3.6 ,48.7%,9.4%,239,0.1%,"665,738"
3,4,Brimstone,0.98, 14.5  /  14.8  /  7.9 ,50.8%,8.8%,205,0.1%,"624,649"
4,5,Sage,0.92, 13.7  /  14.8  /  6.8 ,50.6%,8.2%,190,0.1%,"585,582"
5,6,Skye,0.95, 14.3  /  15  /  7.4 ,49.6%,7.8%,198,0.1%,"552,617"
6,7,Omen,0.98, 14.8  /  15.2  /  6.7 ,47.7%,6.5%,204,0.1%,"460,082"
7,8,Killjoy,0.98, 14  /  14.3  /  3.7 ,49.6%,5.8%,195,0.1%,"412,963"
8,9,Cypher,0.99, 14.3  /  14.5  /  4.6 ,48.7%,4.7%,194,0.1%,"336,829"
9,10,Chamber,1.08, 16  /  14.8  /  2.9 ,48.3%,4.1%,216,0.1%,"288,298"
10,11,Sova,1, 14.6  /  14.7  /  5.5 ,49.3%,3.5%,205,0.1%,"252,015"
11,12,Gekko,0.93, 14.1  /  15.1  /  4.6 ,49.0%,3.0%,193,0.1%,"215,876"
12,13,Fade,0.95, 14.3  /  15.1  /  6.2 ,49.1%,3.0%,198,0.1%,"211,229"
13,14,Phoenix,1.11, 17.2  /  15.4  /  4.4 ,50.4%,3.0%,239,0.1%,"209,808"
14,15,Viper,1, 14.8  /  14.7  /  5.5 ,49.4%,2.8%,205,0.1%,"196,055"
15,16,KAY/O,0.91, 14.1  /  15.5  /  8.3 ,44.9%,2.0%,201,0.1%,"143,603"
16,17,Breach,0.93, 14.4  /  15.5  /  6.2 ,47.0%,1.8%,200,0.1%,"124,784"
17,18,Yoru,1.02, 16.1  /  15.7  /  4.3 ,47.3%,1.4%,222,0.1%,"101,381"
18,19,Astra,1.03, 15.1  /  14.7  /  6.1 ,48.5%,1.4%,205,0.1%,"97,575"
19,20,Neon,0.98, 15.9  /  16.3  /  3.9 ,46.8%,1.0%,222,0.1%,"68,626"
20,21,Harbor,0.91, 13.9  /  15.3  /  5.7 ,45.3%,0.7%,191,0.1%,"50,195"
