,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.78, 11.2  /  14.4  /  6.2 ,50.9%,16.5%,165,0.1%,"883,524"
1,2,Reyna,0.99, 14.9  /  15  /  4.2 ,50.5%,11.5%,217,0.2%,"616,233"
2,3,Jett,0.96, 14.3  /  14.9  /  3.9 ,49.6%,8.4%,211,0.2%,"448,953"
3,4,Raze,0.88, 13.3  /  15.1  /  4.7 ,49.2%,7.1%,203,0.1%,"379,083"
4,5,Sova,0.82, 11.9  /  14.5  /  5.1 ,50.3%,6.4%,178,0.1%,"344,250"
5,6,Omen,0.86, 12.8  /  14.9  /  4.3 ,49.5%,5.9%,186,0.1%,"316,557"
6,7,Killjoy,0.83, 11.6  /  14  /  4.1 ,52.3%,5.5%,175,0.1%,"294,831"
7,8,Viper,0.8, 11.7  /  14.5  /  4.8 ,49.1%,5.3%,173,0.1%,"282,285"
8,9,Chamber,0.92, 13.3  /  14.4  /  3.8 ,48.9%,5.2%,191,0.1%,"278,052"
9,10,Yoru,0.86, 12.8  /  14.9  /  3.6 ,48.1%,4.6%,187,0.1%,"246,024"
10,11,Skye,0.8, 11.7  /  14.7  /  6.1 ,49.9%,4.4%,173,0.1%,"236,283"
11,12,Brimstone,0.84, 12.3  /  14.7  /  5.9 ,52.1%,4.2%,183,0.1%,"224,655"
12,13,Neon,0.86, 13.3  /  15.4  /  3.8 ,47.9%,3.8%,197,0.2%,"204,765"
13,14,Phoenix,0.87, 13  /  14.9  /  3.8 ,48.8%,3.1%,193,0.2%,"168,810"
14,15,KAY/O,0.76, 11.5  /  15.1  /  6.7 ,45.9%,3.1%,174,0.1%,"164,475"
15,16,Cypher,0.84, 11.9  /  14.2  /  4.4 ,48.6%,2.8%,173,0.1%,"148,818"
16,17,Breach,0.82, 12.1  /  14.8  /  4.1 ,49.5%,1.6%,180,0.1%,"87,108"
17,18,Astra,0.88, 12.6  /  14.3  /  4.2 ,51.1%,0.7%,182,0.1%,"35,496"
