,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.13, 17.1  /  15.1  /  4.7 ,50.7%,11.7%,245,0.1%,"863,014",Duelist
1,2,Sage,0.9, 13  /  14.4  /  6.9 ,50.1%,11.2%,187,0.1%,"825,491",Sentinel
2,3,Killjoy,1.0, 13.9  /  13.9  /  4.2 ,51.1%,8.6%,202,0.1%,"636,600",Sentinel
3,4,Omen,0.98, 14.4  /  14.8  /  6.4 ,49.2%,8.5%,205,0.1%,"628,882",Controller
4,5,Jett,1.08, 16.6  /  15.3  /  4 ,50.1%,7.9%,236,0.1%,"583,255",Duelist
5,6,Raze,1.02, 15.6  /  15.3  /  5.2 ,50.1%,6.7%,233,0.1%,"496,826",Duelist
6,7,Sova,0.98, 14.1  /  14.3  /  5.6 ,50.2%,5.6%,204,0.1%,"411,287",Initiator
7,8,Brimstone,0.97, 14.1  /  14.6  /  7.8 ,51.1%,5.3%,206,0.1%,"388,835",Controller
8,9,Skye,0.9, 13.3  /  14.8  /  7.7 ,48.6%,4.1%,193,0.1%,"300,549",Initiator
9,10,Gekko,0.9, 13.4  /  14.9  /  4.8 ,48.4%,4.0%,190,0.1%,"296,991",Initiator
10,11,Phoenix,1.07, 16  /  14.9  /  4.7 ,50.2%,4.0%,231,0.1%,"291,776",Duelist
11,12,KAY/O,0.88, 13.4  /  15.1  /  7.9 ,46.9%,3.1%,196,0.1%,"226,917",Initiator
12,13,Fade,0.91, 13.4  /  14.8  /  6.2 ,49.0%,3.0%,193,0.1%,"224,595",Initiator
13,14,Cypher,0.98, 13.8  /  14.2  /  5.1 ,48.9%,2.8%,195,0.1%,"206,555",Sentinel
14,15,Viper,0.96, 13.9  /  14.5  /  5.4 ,49.2%,2.7%,200,0.1%,"197,201",Controller
15,16,Neon,0.97, 15.2  /  15.7  /  4.2 ,47.7%,2.5%,219,0.1%,"183,778",Duelist
16,17,Chamber,1.05, 15.4  /  14.6  /  3.4 ,48.8%,2.4%,216,0.1%,"174,584",Sentinel
17,18,Yoru,0.97, 14.7  /  15.2  /  4.5 ,46.5%,2.3%,210,0.1%,"168,335",Duelist
18,19,Breach,0.93, 14  /  15.1  /  6 ,48.6%,1.7%,202,0.1%,"124,959",Initiator
19,20,Astra,1.01, 14.5  /  14.3  /  6 ,50.0%,0.9%,205,0.1%,"69,497",Controller
20,21,Harbor,0.89, 13.4  /  15  /  5.7 ,46.7%,0.9%,192,0.1%,"65,211",Controller
