,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Brimstone, 14.8  /  14.9  /  9.9 ,51.2%,15.3%,208,0.2%,"2,878",,Controller
1,2,Jett,1.11, 17.5  /  15.9  /  3.6 ,48.9%,15.1%,241,0.1%,"2,848",Duelist
2,3,Breach,0.95, 14.2  /  15  /  7.8 ,49.8%,14.0%,199,0.1%,"2,644",Initiator
3,4,Raze,1.04, 16.6  /  15.9  /  4.7 ,49.9%,10.5%,237,0.1%,"1,981",Duelist
4,5,Killjoy,1.03, 14.8  /  14.4  /  3.6 ,51.3%,8.9%,202,0.2%,"1,685",Sentinel
5,6,Reyna,1.16, 17.8  /  15.4  /  4.2 ,53.3%,7.6%,245,0.1%,"1,429",Duelist
6,7,Cypher,1.02, 15.1  /  14.8  /  4.9 ,46.4%,7.0%,205,0.1%,"1,325",Sentinel
7,8,Fade,0.94, 14.1  /  15  /  6.1 ,46.6%,3.4%,198,0.1%,641,Initiator
8,9,Sage,0.97, 14.3  /  14.8  /  7.3 ,55.9%,3.4%,199,0.1%,640,Sentinel
9,10,Neon,0.98, 15.9  /  16.3  /  4 ,43.1%,2.7%,226,0.1%,504,Duelist
10,11,KAY/O,0.94, 14.5  /  15.4  /  9.7 ,45.7%,2.5%,207,0.1%,473,Initiator
11,12,Viper,1.03, 15.2  /  14.8  /  5.9 ,47.9%,2.2%,208,0.2%,407,Controller
12,13,Chamber,1.05, 16.3  /  15.5  /  2.8 ,46.2%,1.9%,212,0.1%,364,Sentinel
13,14,Skye,1, 14.5  /  14.5  /  7.7 ,48.5%,1.3%,203,0.1%,237,Initiator
14,15,Phoenix,1.18, 17.4  /  14.7  /  4.5 ,55.8%,1.2%,243,0.1%,231,Duelist
15,16,Yoru,0.93, 14.9  /  16.1  /  4.2 ,40.9%,0.9%,204,0.1%,164,Duelist
16,17,Omen,0.89, 13.7  /  15.3  /  7.3 ,40.0%,0.7%,190,0.1%,140,Controller
17,18,Astra,1.03, 15.4  /  14.9  /  7.2 ,43.5%,0.7%,206,0.2%,138,Controller
18,19,Harbor,0.94, 13.8  /  14.6  /  5.8 ,49.5%,0.5%,190,0.1%,95,Controller
19,20,Sova,1.08, 16.2  /  14.9  /  5.4 ,59.4%,0.2%,223,0.1%,32,Initiator
