,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.71, 10.2  /  14.3  /  6.2 ,48.4%,14.0%,152,0.1%,"1,989"
1,2,Reyna,0.96, 13.7  /  14.2  /  4.2 ,52.6%,10.9%,203,0.1%,"1,555"
2,3,Raze,0.89, 12.9  /  14.5  /  4.6 ,49.4%,8.1%,197,0.1%,"1,150"
3,4,Jett,0.86, 12.6  /  14.7  /  3.6 ,47.6%,6.1%,189,0.1%,872
4,5,Yoru,0.82, 12.2  /  14.8  /  3.8 ,46.8%,6.1%,178,0.1%,867
5,6,Fade,0.75, 11.1  /  14.8  /  5.7 ,51.0%,5.5%,164,0.1%,786
6,7,Neon,0.78, 11.7  /  15  /  4 ,44.9%,5.4%,176,0.1%,767
7,8,Phoenix,0.83, 12.1  /  14.5  /  4.3 ,49.1%,5.2%,180,0.1%,743
8,9,Omen,0.84, 12.2  /  14.6  /  4.6 ,50.8%,5.0%,177,0.1%,718
9,10,Sova,0.78, 11  /  14.2  /  4.7 ,49.4%,4.3%,165,0.2%,619
10,11,Killjoy,0.85, 11.6  /  13.7  /  4 ,52.2%,4.3%,174,0.2%,619
11,12,Viper,0.76, 11.2  /  14.7  /  4.7 ,46.2%,4.3%,167,0.1%,612
12,13,Brimstone,0.81, 11.6  /  14.4  /  5.3 ,46.9%,3.5%,173,0.1%,493
13,14,Skye,0.79, 11.3  /  14.4  /  7.1 ,45.6%,3.3%,168,0.1%,465
14,15,KAY/O,0.75, 11.5  /  15.4  /  7.5 ,47.7%,3.0%,170,0.1%,432
15,16,Cypher,0.82, 11.7  /  14.2  /  5 ,46.6%,2.9%,169,0.2%,412
16,17,Gekko,0.83, 11.9  /  14.3  /  4.4 ,51.5%,2.5%,172,0.1%,361
17,18,Chamber,0.82, 11.8  /  14.4  /  3.1 ,45.4%,2.0%,174,0.1%,280
18,19,Breach,0.9, 12.5  /  14  /  5.1 ,51.1%,1.6%,189,0.1%,225
19,20,Harbor,0.67, 9.9  /  14.8  /  4.5 ,43.2%,1.2%,147,0.1%,176
20,21,Astra,0.79, 10.7  /  13.5  /  4.5 ,49.0%,0.7%,163,0.2%,100
