,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Reyna,1.15, 17.9  /  15.6  /  4.3 ,51.2%,12.0%,250,0.2%,"2,026,332"
1,2,Jett,1.09, 17.3  /  15.9  /  3.6 ,49.8%,10.5%,241,0.2%,"1,763,988"
2,3,Chamber,1.1, 16.4  /  14.9  /  3 ,50.1%,10.4%,223,0.2%,"1,760,979"
3,4,Sage,0.92, 13.6  /  14.8  /  6.7 ,50.7%,9.3%,190,0.1%,"1,568,352"
4,5,Raze,1.05, 16.6  /  15.9  /  4.8 ,50.3%,6.0%,241,0.2%,"1,013,778"
5,6,Viper,0.98, 14.3  /  14.7  /  5.3 ,50.9%,5.9%,200,0.1%,"1,001,640"
6,7,Brimstone,0.97, 14.4  /  14.9  /  7.3 ,51.8%,5.7%,204,0.1%,"964,308"
7,8,Sova,0.98, 14.3  /  14.7  /  5.4 ,50.4%,5.6%,202,0.1%,"945,285"
8,9,Omen,0.97, 14.7  /  15.2  /  6.1 ,48.5%,5.4%,204,0.1%,"906,576"
9,10,Fade,0.94, 14.2  /  15  /  6.3 ,50.3%,5.0%,198,0.1%,"844,458"
10,11,Skye,0.94, 14.1  /  15.1  /  6.9 ,50.0%,3.5%,199,0.1%,"590,529"
11,12,Phoenix,1.12, 17.2  /  15.4  /  4.4 ,51.1%,3.3%,242,0.2%,"554,931"
12,13,Killjoy,0.99, 14.1  /  14.3  /  3.9 ,51.8%,3.2%,199,0.1%,"544,782"
13,14,KAY/O,0.91, 14.1  /  15.5  /  8 ,46.9%,3.2%,202,0.1%,"541,467"
14,15,Cypher,1, 14.5  /  14.5  /  4.5 ,50.5%,2.8%,199,0.1%,"479,910"
15,16,Breach,0.93, 14.3  /  15.4  /  6.4 ,49.4%,2.4%,201,0.1%,"410,142"
16,17,Neon,1.01, 16.3  /  16.2  /  4 ,49.1%,1.9%,231,0.2%,"317,526"
17,18,Astra,1.04, 15.2  /  14.6  /  5.8 ,50.6%,1.5%,208,0.1%,"249,390"
18,19,Yoru,1.01, 15.9  /  15.7  /  4.2 ,47.4%,1.2%,220,0.1%,"208,641"
19,20,Harbor,0.89, 13.7  /  15.4  /  4.8 ,46.2%,1.1%,191,0.1%,"183,855"
