,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.05, 17.1  /  16.2  /  4.8 ,49.3%,13.7%,243,0.1%,"284,487"
1,2,Jett,1.09, 17.5  /  16.1  /  3.5 ,48.8%,12.2%,237,0.1%,"253,429"
2,3,Brimstone,0.99, 14.8  /  15  /  8.7 ,50.7%,11.5%,205,0.1%,"239,079"
3,4,Skye,0.97, 14.6  /  15.1  /  7.7 ,49.2%,11.5%,198,0.1%,"238,564"
4,5,Reyna,1.14, 17.9  /  15.7  /  4.2 ,49.8%,7.5%,243,0.1%,"154,773"
5,6,Cypher,1, 14.6  /  14.7  /  4.5 ,48.9%,6.5%,195,0.1%,"134,598"
6,7,Sage,0.96, 14.2  /  14.9  /  6.9 ,51.5%,5.2%,194,0.1%,"108,945"
7,8,Killjoy,1.01, 14.5  /  14.5  /  3.4 ,49.0%,4.8%,197,0.1%,"100,534"
8,9,Omen,0.98, 14.9  /  15.3  /  7.6 ,46.9%,4.7%,203,0.1%,"97,728"
9,10,Chamber,1.08, 16.2  /  15  /  2.6 ,48.2%,4.5%,215,0.1%,"94,473"
10,11,Sova,1.02, 15  /  14.7  /  5.8 ,49.6%,4.1%,206,0.1%,"84,296"
11,12,Fade,0.98, 14.8  /  15.1  /  6.6 ,49.5%,2.6%,201,0.1%,"54,374"
12,13,Phoenix,1.11, 17.3  /  15.6  /  4.5 ,50.2%,2.0%,238,0.1%,"42,031"
13,14,Viper,1.06, 15.8  /  14.8  /  5.7 ,49.7%,1.9%,215,0.1%,"39,732"
14,15,Gekko,0.95, 14.4  /  15.1  /  4.7 ,49.1%,1.6%,194,0.1%,"32,683"
15,16,Astra,1.03, 15.3  /  14.9  /  6.9 ,47.3%,1.5%,205,0.1%,"30,799"
16,17,Yoru,1.06, 16.9  /  15.9  /  4.5 ,49.4%,1.3%,230,0.1%,"26,257"
17,18,KAY/O,0.93, 14.5  /  15.7  /  9.2 ,43.8%,1.1%,204,0.1%,"22,700"
18,19,Breach,0.94, 14.6  /  15.5  /  7.1 ,46.6%,0.9%,199,0.1%,"18,130"
19,20,Harbor,0.93, 14.2  /  15.3  /  6.2 ,44.2%,0.5%,193,0.1%,"11,321"
20,21,Neon,0.97, 16  /  16.5  /  4 ,45.7%,0.4%,221,0.1%,"8,383"
