,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.92, 13.5  /  14.8  /  7.1 ,51.1%,12.6%,190,0.1%,"35,419"
1,2,Reyna,1.19, 18.3  /  15.4  /  4.5 ,50.9%,12.3%,258,0.1%,"34,435"
2,3,Jett,1.13, 17.7  /  15.8  /  4 ,50.0%,9.5%,250,0.1%,"26,606"
3,4,Viper,1.01, 14.7  /  14.6  /  5.6 ,49.8%,8.9%,207,0.1%,"25,100"
4,5,Sova,1, 14.6  /  14.6  /  5.3 ,49.4%,6.6%,207,0.1%,"18,444"
5,6,Killjoy,1, 14.2  /  14.2  /  4 ,51.0%,6.6%,203,0.2%,"18,443"
6,7,Raze,1.06, 16.7  /  15.8  /  4.8 ,49.3%,6.1%,242,0.1%,"17,245"
7,8,Omen,1, 15.3  /  15.3  /  5.6 ,49.1%,5.4%,215,0.1%,"15,265"
8,9,Gekko,0.97, 14.3  /  14.8  /  4.8 ,51.3%,5.1%,200,0.1%,"14,193"
9,10,KAY/O,0.93, 14.3  /  15.4  /  8.5 ,46.7%,3.4%,206,0.1%,"9,465"
10,11,Brimstone,0.98, 14.5  /  14.8  /  6.8 ,50.0%,3.3%,208,0.1%,"9,136"
11,12,Fade,0.94, 14.2  /  15.1  /  6.2 ,49.6%,3.0%,201,0.1%,"8,526"
12,13,Phoenix,1.11, 16.9  /  15.2  /  4.4 ,50.0%,2.9%,240,0.1%,"8,039"
13,14,Skye,0.94, 14.1  /  15  /  7.3 ,50.1%,2.8%,200,0.1%,"7,966"
14,15,Chamber,1.11, 16.2  /  14.6  /  3.2 ,50.2%,2.6%,223,0.1%,"7,282"
15,16,Neon,1.01, 16.3  /  16.2  /  4.3 ,47.4%,2.3%,233,0.1%,"6,400"
16,17,Yoru,1.01, 15.5  /  15.4  /  4.1 ,46.2%,1.8%,220,0.1%,"4,986"
17,18,Cypher,0.97, 14.2  /  14.6  /  4.6 ,46.2%,1.7%,197,0.1%,"4,653"
18,19,Harbor,0.92, 14  /  15.2  /  5.8 ,47.5%,1.3%,197,0.1%,"3,718"
19,20,Breach,0.95, 14.6  /  15.4  /  5.9 ,47.0%,1.3%,208,0.1%,"3,613"
20,21,Astra,1.05, 15.2  /  14.5  /  5 ,53.0%,0.6%,210,0.1%,"1,769"
