,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.72, 10  /  13.8  /  5.6 ,50.4%,12.8%,151,0.1%,"61,709"
1,2,Reyna,0.98, 13.9  /  14.1  /  4.3 ,50.8%,11.1%,207,0.1%,"53,478"
2,3,Raze,0.86, 12.3  /  14.3  /  4.5 ,50.0%,8.1%,192,0.1%,"39,121"
3,4,Jett,0.89, 12.7  /  14.2  /  3.6 ,49.3%,7.1%,191,0.1%,"34,085"
4,5,Omen,0.79, 11.3  /  14.3  /  4.4 ,48.5%,5.9%,169,0.1%,"28,169"
5,6,Phoenix,0.87, 12.2  /  14  /  4 ,48.5%,5.6%,184,0.1%,"26,852"
6,7,Yoru,0.82, 11.7  /  14.3  /  4.1 ,48.4%,5.5%,174,0.1%,"26,697"
7,8,Gekko,0.75, 10.7  /  14.3  /  4.3 ,49.2%,5.1%,160,0.1%,"24,715"
8,9,Neon,0.82, 11.8  /  14.5  /  3.8 ,48.7%,4.9%,180,0.1%,"23,669"
9,10,Fade,0.72, 10.4  /  14.4  /  5.8 ,49.7%,4.2%,158,0.1%,"20,345"
10,11,Killjoy,0.8, 10.8  /  13.4  /  3.8 ,51.8%,4.1%,165,0.1%,"19,827"
11,12,Brimstone,0.82, 11.3  /  13.8  /  5.4 ,50.2%,4.0%,173,0.1%,"19,265"
12,13,Sova,0.75, 10.6  /  14.1  /  4.6 ,47.9%,4.0%,162,0.1%,"19,195"
13,14,Viper,0.77, 10.7  /  14  /  4.5 ,50.4%,3.6%,162,0.1%,"17,358"
14,15,Skye,0.76, 10.6  /  13.9  /  6.4 ,51.0%,3.5%,162,0.1%,"16,617"
15,16,KAY/O,0.74, 10.6  /  14.3  /  7.1 ,49.4%,2.6%,164,0.1%,"12,481"
16,17,Cypher,0.82, 11.2  /  13.6  /  4.5 ,49.7%,2.5%,166,0.1%,"12,001"
17,18,Chamber,0.86, 12  /  13.9  /  3.3 ,48.6%,2.0%,176,0.1%,"9,442"
18,19,Breach,0.84, 11.6  /  13.9  /  5 ,49.2%,1.9%,177,0.1%,"9,032"
19,20,Harbor,0.72, 10.2  /  14.2  /  4.6 ,48.1%,1.0%,155,0.1%,"4,854"
20,21,Astra,0.85, 11.2  /  13.2  /  3.8 ,43.8%,0.5%,171,0.1%,"2,502"
