,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.05, 15.5  /  14.8  /  2.8 ,48.4%,20.1%,228,0.1%,62.0,Duelist
1,2,Killjoy,1.34, 17.5  /  13  /  2.7 ,74.5%,15.2%,236,0.1%,47.0,Sentinel
2,3,Brimstone,1.0, 14.7  /  14.7  /  9.6 ,52.2%,14.9%,202,0.1%,46.0,Controller
3,4,Gekko,0.94, 14.4  /  15.2  /  5.8 ,48.8%,13.9%,190,0.1%,43.0,Initiator
4,5,Breach,1.22, 17.7  /  14.5  /  10.8 ,64.0%,8.1%,240,0.1%,25.0,Initiator
5,6,Raze,1.0, 18.8  /  18.8  /  5.5 ,45.8%,7.8%,236,0.1%,24.0,Duelist
6,7,Reyna,0.99, 16.6  /  16.8  /  4.6 ,40.0%,4.9%,228,0.1%,15.0,Duelist
7,8,Cypher,1.37, 20.6  /  15.1  /  4 ,23.1%,4.2%,263,0.1%,13.0,Sentinel
8,9,Sage,1.04, 14.8  /  14.3  /  4.3 ,75.0%,3.9%,185,0.2%,12.0,Sentinel
9,10,Viper,1.46, 20.5  /  14  /  5.8 ,50.0%,3.9%,254,0.2%,12.0,Controller
10,11,KAY/O,0.63, 11.5  /  18.3  /  10.8 ,0.0%,1.3%,180,0.1%,4.0,Initiator
11,12,Astra,0.57, 8  /  14  /  5 ,0.0%,1.0%,135,3,,Controller
12,13,Phoenix,1.41, 24  /  17  /  1 ,100.0%,0.3%,284,0.1%,1.0,Duelist
13,14,Yoru,1.63, 26  /  16  /  6 ,0.0%,0.3%,354,0.1%,1.0,Duelist
14,15,Fade,0.56, 9  /  16  /  3 ,0.0%,0.3%,160,1,,Initiator
