,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.18, 18.1  /  15.4  /  4.5 ,50.4%,11.7%,253,0.1%,"27,006"
1,2,Jett,1.11, 17.5  /  15.8  /  3.9 ,49.3%,8.8%,244,0.1%,"20,327"
2,3,Sage,0.93, 13.8  /  14.8  /  7 ,51.3%,8.4%,192,0.1%,"19,228"
3,4,Omen,0.98, 14.9  /  15.1  /  6.5 ,48.5%,7.8%,207,0.1%,"17,857"
4,5,Raze,1.08, 17  /  15.8  /  5 ,50.4%,7.2%,247,0.1%,"16,576"
5,6,Killjoy,1.01, 14.4  /  14.3  /  3.8 ,50.2%,6.7%,201,0.2%,"15,525"
6,7,Gekko,0.97, 14.5  /  15  /  5 ,51.3%,5.6%,198,0.1%,"12,939"
7,8,Brimstone,0.98, 14.7  /  14.9  /  7.9 ,52.2%,4.7%,208,0.1%,"10,798"
8,9,Skye,0.94, 14.1  /  15.1  /  7.7 ,50.1%,4.6%,198,0.1%,"10,635"
9,10,Breach,0.95, 14.6  /  15.3  /  6.7 ,49.3%,4.6%,203,0.1%,"10,556"
10,11,Fade,0.95, 14.4  /  15.1  /  6.2 ,50.2%,3.7%,201,0.1%,"8,492"
11,12,Chamber,1.11, 16.5  /  14.8  /  3 ,49.7%,3.6%,225,0.1%,"8,213"
12,13,Phoenix,1.13, 17.3  /  15.3  /  4.6 ,50.8%,3.4%,243,0.1%,"7,811"
13,14,Cypher,1.01, 14.7  /  14.6  /  4.8 ,50.2%,3.2%,201,0.1%,"7,428"
14,15,KAY/O,0.93, 14.3  /  15.4  /  8.9 ,45.7%,3.2%,206,0.1%,"7,314"
15,16,Harbor,0.92, 14.1  /  15.3  /  5.8 ,48.6%,2.4%,195,0.1%,"5,511"
16,17,Sova,0.99, 14.5  /  14.7  /  5.5 ,48.7%,2.4%,208,0.1%,"5,480"
17,18,Viper,0.99, 14.7  /  14.8  /  5.5 ,49.8%,2.3%,205,0.1%,"5,371"
18,19,Neon,1, 16.4  /  16.4  /  4.3 ,47.9%,2.2%,231,0.1%,"5,018"
19,20,Astra,1.05, 15.1  /  14.5  /  5.9 ,51.4%,2.0%,208,0.2%,"4,575"
20,21,Yoru,1.03, 16.1  /  15.7  /  4.4 ,46.9%,1.5%,223,0.1%,"3,344"
