,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.2  /  15.9  /  3.8 ,48.6%,13.1%,239,0.1%,"20,635"
1,2,Reyna,1.13, 17.8  /  15.7  /  4.6 ,49.4%,10.4%,248,0.1%,"16,423"
2,3,Fade,0.96, 14.6  /  15.1  /  6.6 ,50.0%,8.8%,202,0.1%,"13,863"
3,4,Sage,0.91, 13.6  /  14.9  /  7.2 ,50.5%,7.4%,189,0.1%,"11,568"
4,5,Viper,0.99, 14.8  /  14.8  /  6.1 ,48.1%,7.0%,206,0.2%,"10,941"
5,6,Killjoy,1.03, 14.7  /  14.2  /  3.9 ,50.8%,5.8%,205,0.2%,"9,098"
6,7,Cypher,1.01, 14.8  /  14.7  /  4.8 ,47.4%,5.6%,202,0.1%,"8,767"
7,8,Raze,1.05, 16.7  /  15.9  /  4.9 ,49.6%,4.7%,242,0.1%,"7,433"
8,9,Astra,1.05, 15.1  /  14.4  /  6.6 ,50.2%,4.6%,207,0.2%,"7,208"
9,10,Skye,0.97, 14.7  /  15.1  /  7.8 ,49.8%,4.4%,205,0.1%,"6,938"
10,11,Phoenix,1.12, 17.3  /  15.4  /  4.9 ,50.1%,4.4%,244,0.1%,"6,889"
11,12,KAY/O,0.93, 14.6  /  15.7  /  9 ,46.2%,4.0%,206,0.1%,"6,321"
12,13,Harbor,0.9, 13.7  /  15.2  /  6.3 ,46.5%,3.5%,190,0.1%,"5,570"
13,14,Chamber,1.08, 16  /  14.9  /  3 ,48.5%,3.5%,217,0.1%,"5,509"
14,15,Brimstone,0.95, 14.2  /  14.9  /  8.5 ,48.8%,3.3%,204,0.1%,"5,145"
15,16,Omen,0.96, 14.6  /  15.2  /  6.7 ,47.0%,2.7%,205,0.1%,"4,171"
16,17,Sova,1.01, 14.8  /  14.7  /  5.8 ,49.2%,2.6%,208,0.1%,"4,077"
17,18,Neon,0.98, 16.1  /  16.5  /  4.3 ,47.6%,1.6%,226,0.1%,"2,564"
18,19,Breach,0.93, 14.4  /  15.5  /  6.8 ,45.6%,1.4%,201,0.1%,"2,196"
19,20,Yoru,1.04, 16.5  /  15.9  /  4.5 ,50.0%,1.3%,225,0.1%,"2,010"
