,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.73, 10.3  /  14.1  /  5.4 ,50.6%,12.9%,154,0.1%,"65,007",Sentinel
1,2,Reyna,0.96, 13.8  /  14.3  /  4.1 ,49.8%,11.0%,204,0.1%,"55,115",Duelist
2,3,Raze,0.87, 12.6  /  14.5  /  4.3 ,49.4%,8.4%,194,0.1%,"42,306",Duelist
3,4,Jett,0.88, 12.7  /  14.4  /  3.4 ,48.7%,6.9%,189,0.1%,"34,747",Duelist
4,5,Omen,0.82, 11.9  /  14.4  /  4.3 ,49.8%,6.1%,174,0.1%,"30,651",Controller
5,6,Phoenix,0.86, 12.2  /  14.2  /  3.9 ,48.7%,5.6%,184,0.1%,"28,146",Duelist
6,7,Yoru,0.81, 11.8  /  14.5  /  3.8 ,47.2%,5.6%,173,0.1%,"28,045",Duelist
7,8,Gekko,0.75, 10.8  /  14.5  /  4.1 ,49.8%,5.2%,160,0.1%,"26,144",Initiator
8,9,Neon,0.79, 11.7  /  14.7  /  3.6 ,47.0%,4.7%,176,0.1%,"23,490",Duelist
9,10,Fade,0.72, 10.5  /  14.6  /  5.4 ,49.4%,4.4%,159,0.1%,"22,097",Initiator
10,11,Sova,0.77, 10.9  /  14.2  /  4.3 ,48.0%,4.2%,164,0.1%,"20,863",Initiator
11,12,Killjoy,0.8, 10.9  /  13.6  /  3.8 ,51.5%,4.0%,166,0.1%,"19,968",Sentinel
12,13,Brimstone,0.82, 11.4  /  14  /  5.1 ,49.7%,3.9%,173,0.1%,"19,742",Controller
13,14,Skye,0.78, 10.9  /  14.1  /  6.1 ,50.3%,3.6%,166,0.1%,"18,079",Initiator
14,15,Viper,0.76, 10.9  /  14.2  /  4.2 ,49.4%,3.5%,163,0.1%,"17,813",Controller
15,16,Cypher,0.82, 11.2  /  13.7  /  4.4 ,49.2%,2.6%,165,0.1%,"13,279",Sentinel
16,17,KAY/O,0.74, 10.8  /  14.6  /  6.6 ,47.8%,2.5%,165,0.1%,"12,592",Initiator
17,18,Chamber,0.87, 12.2  /  14  /  3.2 ,49.5%,2.0%,178,0.1%,"10,143",Sentinel
18,19,Breach,0.8, 11.3  /  14  /  4.4 ,47.5%,1.4%,171,0.1%,"6,854",Initiator
19,20,Harbor,0.73, 10.6  /  14.6  /  4.5 ,47.0%,1.0%,159,0.1%,"4,900",Controller
20,21,Astra,0.86, 11.2  /  13.1  /  3.7 ,43.0%,0.5%,170,0.1%,"2,624",Controller
