,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.4  /  16.2  /  3.7 ,48.7%,16.4%,236,0.1%,"625,655",Duelist
1,2,Omen,0.98, 14.9  /  15.2  /  9.1 ,48.4%,12.4%,203,0.1%,"472,097",Controller
2,3,Sova,1.02, 14.9  /  14.6  /  6.3 ,50.0%,11.9%,207,0.1%,"454,256",Initiator
3,4,Killjoy,1.01, 14.7  /  14.5  /  3.7 ,49.3%,11.3%,200,0.1%,"428,689",Sentinel
4,5,Reyna,1.1, 17.5  /  15.9  /  4.5 ,49.8%,9.3%,239,0.1%,"353,470",Duelist
5,6,KAY/O,0.92, 14.5  /  15.7  /  9.5 ,44.9%,5.0%,203,0.1%,"188,703",Initiator
6,7,Brimstone,0.97, 14.6  /  15.1  /  10.4 ,51.8%,4.5%,206,0.1%,"171,639",Controller
7,8,Raze,1.03, 16.5  /  16.1  /  5 ,49.3%,4.5%,236,0.1%,"169,823",Duelist
8,9,Sage,0.95, 14.2  /  15  /  7.2 ,50.6%,4.3%,196,0.1%,"162,182",Sentinel
9,10,Skye,0.94, 14.5  /  15.4  /  8 ,48.5%,3.2%,199,0.1%,"123,391",Initiator
10,11,Phoenix,1.1, 17.3  /  15.8  /  5 ,51.3%,3.2%,240,0.1%,"120,357",Duelist
11,12,Cypher,1.01, 14.8  /  14.7  /  5 ,49.5%,3.1%,199,0.1%,"118,975",Sentinel
12,13,Chamber,1.07, 16.4  /  15.3  /  2.8 ,47.5%,3.0%,218,0.1%,"113,127",Sentinel
13,14,Astra,1.04, 15.4  /  14.9  /  8.2 ,49.8%,2.1%,209,0.1%,"78,226",Controller
14,15,Fade,0.97, 14.6  /  15.1  /  6.8 ,49.2%,1.8%,200,0.1%,"69,440",Initiator
15,16,Gekko,0.93, 14.3  /  15.3  /  4.9 ,47.6%,1.3%,193,0.1%,"50,637",Initiator
16,17,Breach,0.92, 14.4  /  15.6  /  7.5 ,46.9%,0.9%,199,0.1%,"34,037",Initiator
17,18,Yoru,1.01, 16  /  15.9  /  4.7 ,46.2%,0.8%,219,0.1%,"30,750",Duelist
18,19,Neon,0.96, 16  /  16.7  /  4.2 ,45.3%,0.5%,220,0.1%,"19,842",Duelist
19,20,Viper,1.01, 15  /  14.9  /  6 ,47.7%,0.4%,207,0.1%,"16,068",Controller
20,21,Harbor,0.92, 14.2  /  15.4  /  6.6 ,44.9%,0.2%,194,0.1%,"7,681",Controller
