,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.4  /  15.9  /  3.8 ,49.3%,12.4%,240,0.1%,"948,556"
1,2,Reyna,1.13, 17.7  /  15.7  /  4.6 ,50.0%,10.9%,245,0.1%,"826,970"
2,3,Killjoy,1, 14.2  /  14.3  /  3.8 ,49.4%,10.5%,198,0.1%,"803,859"
3,4,Omen,0.98, 14.8  /  15.1  /  7.9 ,48.5%,10.4%,205,0.1%,"794,848"
4,5,Sova,1.02, 14.8  /  14.5  /  5.9 ,50.3%,8.3%,208,0.1%,"630,887"
5,6,Sage,0.92, 13.6  /  14.9  /  7.1 ,49.9%,7.7%,189,0.1%,"584,449"
6,7,Brimstone,0.96, 14.4  /  14.9  /  9.2 ,51.2%,5.7%,205,0.1%,"431,790"
7,8,Raze,1.03, 16.3  /  15.9  /  5 ,49.3%,5.7%,237,0.1%,"430,668"
8,9,KAY/O,0.91, 14.1  /  15.5  /  8.7 ,46.0%,4.0%,200,0.1%,"301,279"
9,10,Skye,0.93, 14.1  /  15.1  /  7.8 ,48.7%,3.7%,197,0.1%,"281,721"
10,11,Phoenix,1.11, 17.2  /  15.5  /  4.8 ,50.7%,3.4%,241,0.1%,"258,363"
11,12,Cypher,0.99, 14.4  /  14.5  /  5 ,49.1%,2.8%,197,0.1%,"212,286"
12,13,Chamber,1.08, 16.2  /  15  /  3 ,48.6%,2.8%,219,0.1%,"210,918"
13,14,Gekko,0.92, 13.9  /  15.2  /  4.8 ,47.9%,2.4%,191,0.1%,"185,647"
14,15,Fade,0.94, 14.2  /  15.1  /  6.4 ,48.8%,2.3%,197,0.1%,"176,394"
15,16,Astra,1.03, 15.2  /  14.7  /  7.1 ,49.4%,1.6%,208,0.1%,"124,200"
16,17,Breach,0.92, 14.3  /  15.5  /  6.7 ,48.0%,1.5%,200,0.1%,"115,265"
17,18,Viper,0.97, 14.3  /  14.8  /  5.7 ,47.9%,1.4%,200,0.1%,"106,916"
18,19,Yoru,1, 15.6  /  15.7  /  4.5 ,46.1%,1.1%,217,0.1%,"82,022"
19,20,Neon,0.96, 15.7  /  16.3  /  4.1 ,46.5%,1.1%,221,0.1%,"80,856"
20,21,Harbor,0.9, 13.9  /  15.4  /  6.1 ,44.6%,0.4%,193,0.1%,"33,095"
