,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 17.6  /  15  /  4.7 ,50.6%,11.8%,252,0.1%,"31,923"
1,2,Sage,0.89, 12.8  /  14.5  /  6.9 ,49.9%,11.1%,185,0.1%,"30,207"
2,3,Killjoy,0.98, 13.8  /  14  /  4.3 ,50.3%,7.3%,199,0.2%,"19,858"
3,4,Brimstone,0.97, 14.1  /  14.5  /  7.5 ,51.2%,7.1%,205,0.1%,"19,383"
4,5,Jett,1.09, 16.7  /  15.3  /  4.1 ,50.2%,6.7%,239,0.1%,"18,212"
5,6,Raze,1.05, 16  /  15.2  /  5 ,51.3%,6.2%,237,0.1%,"16,685"
6,7,Omen,0.97, 14.4  /  14.9  /  5.8 ,47.6%,5.2%,205,0.1%,"14,096"
7,8,Breach,0.95, 14.2  /  15.1  /  6.1 ,49.9%,5.1%,204,0.1%,"13,807"
8,9,Gekko,0.94, 13.8  /  14.8  /  4.9 ,51.2%,4.7%,195,0.1%,"12,870"
9,10,Viper,0.95, 13.8  /  14.5  /  5.4 ,49.2%,4.1%,198,0.1%,"11,191"
10,11,Fade,0.93, 13.8  /  14.8  /  6.2 ,48.5%,3.9%,197,0.1%,"10,572"
11,12,Skye,0.91, 13.4  /  14.8  /  7.4 ,49.0%,3.7%,194,0.1%,"9,985"
12,13,Phoenix,1.1, 16.4  /  14.9  /  4.6 ,49.3%,3.6%,236,0.1%,"9,673"
13,14,Neon,1.01, 15.9  /  15.7  /  4.4 ,48.8%,3.5%,230,0.1%,"9,423"
14,15,Cypher,0.97, 14  /  14.4  /  5 ,47.6%,3.3%,197,0.1%,"8,914"
15,16,KAY/O,0.9, 13.7  /  15.3  /  8.2 ,46.4%,3.2%,201,0.1%,"8,582"
16,17,Sova,0.93, 13.8  /  14.8  /  5.4 ,47.7%,2.8%,199,0.1%,"7,516"
17,18,Chamber,1.06, 15.6  /  14.6  /  3.3 ,48.0%,2.4%,217,0.1%,"6,606"
18,19,Yoru,0.99, 15  /  15.2  /  4.3 ,45.9%,2.2%,215,0.1%,"5,832"
19,20,Harbor,0.89, 13.2  /  14.8  /  5.5 ,46.7%,1.2%,191,0.1%,"3,387"
20,21,Astra,1, 14.5  /  14.5  /  5.7 ,50.5%,0.9%,204,0.1%,"2,503"
