,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 18  /  16.7  /  3.7 ,48.0%,19.1%,247,0.1%,"3,681"
1,2,Viper,1.04, 15.6  /  15  /  6 ,48.7%,16.7%,214,0.1%,"3,214"
2,3,Sova,1, 14.9  /  14.8  /  5.7 ,51.0%,16.2%,204,0.2%,"3,127"
3,4,Reyna,1.12, 18.2  /  16.2  /  4.1 ,50.8%,11.6%,246,0.1%,"2,236"
4,5,Sage,0.96, 14.5  /  15.2  /  7 ,53.3%,10.7%,195,0.1%,"2,057"
5,6,Killjoy,1.04, 15  /  14.5  /  3.3 ,50.1%,8.4%,204,0.2%,"1,625"
6,7,Raze,1.03, 17  /  16.5  /  4.6 ,52.6%,5.1%,238,0.1%,980
7,8,Chamber,1.08, 16.8  /  15.5  /  2.7 ,45.2%,2.3%,223,0.1%,440
8,9,KAY/O,0.94, 14.9  /  15.8  /  10.1 ,45.5%,2.1%,209,0.1%,407
9,10,Harbor,0.91, 13.8  /  15.2  /  5.8 ,43.6%,1.8%,189,0.1%,349
10,11,Omen,0.96, 15.1  /  15.8  /  6.4 ,46.0%,1.1%,210,0.1%,215
11,12,Skye,0.86, 13.9  /  16  /  7.1 ,48.5%,1.0%,192,0.1%,196
12,13,Yoru,1.06, 17.2  /  16.3  /  4.2 ,41.2%,0.9%,230,0.1%,170
13,14,Phoenix,1.1, 18  /  16.3  /  4.6 ,51.2%,0.7%,241,0.1%,127
14,15,Fade,0.92, 13.9  /  15.1  /  6 ,48.0%,0.7%,192,0.2%,127
15,16,Cypher,0.91, 14  /  15.4  /  3.8 ,40.0%,0.6%,192,0.1%,120
16,17,Neon,0.94, 15  /  15.9  /  3.8 ,54.0%,0.5%,224,0.1%,100
17,18,Brimstone,0.87, 14.3  /  16.5  /  7.4 ,35.3%,0.4%,202,0.1%,68
18,19,Breach,0.88, 14.8  /  16.8  /  8.7 ,55.6%,0.1%,196,27,
19,20,Astra,1.16, 15.5  /  13.3  /  6.1 ,72.2%,0.1%,211,0.2%,18
