,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.5  /  16.2  /  3.5 ,49.2%,18.3%,237,0.2%,"121,033",Duelist
1,2,Sova,1.02, 14.9  /  14.6  /  6.4 ,49.9%,14.2%,207,0.1%,"93,804",Initiator
2,3,Omen,0.99, 14.9  /  15.1  /  9.7 ,48.9%,13.5%,203,0.1%,"89,038",Controller
3,4,Reyna,1.1, 17.5  /  15.9  /  4.4 ,50.2%,9.7%,237,0.2%,"64,035",Duelist
4,5,Killjoy,1.03, 15  /  14.5  /  3.5 ,49.9%,9.7%,203,0.1%,"64,035",Sentinel
5,6,KAY/O,0.94, 14.6  /  15.6  /  9.7 ,45.4%,4.4%,205,0.1%,"28,821",Initiator
6,7,Raze,1.03, 16.6  /  16.2  /  5 ,50.5%,3.7%,236,0.2%,"24,221",Duelist
7,8,Deadlock,1.01, 15.3  /  15.1  /  3.8 ,48.5%,3.6%,239,0.1%,"23,668",Sentinel
8,9,Brimstone,0.98, 14.6  /  14.9  /  11.1 ,52.2%,3.2%,207,0.1%,"20,983",Controller
9,10,Chamber,1.08, 16.5  /  15.3  /  2.6 ,47.7%,3.1%,218,0.2%,"20,821",Sentinel
10,11,Phoenix,1.1, 17.4  /  15.8  /  5 ,52.6%,3.1%,239,0.2%,"20,420",Duelist
11,12,Cypher,1.03, 15.1  /  14.6  /  4.9 ,50.7%,3.1%,201,0.1%,"20,292",Sentinel
12,13,Skye,0.95, 14.6  /  15.4  /  7.9 ,48.7%,2.8%,200,0.1%,"18,197",Initiator
13,14,Sage,0.98, 14.6  /  14.9  /  7 ,51.5%,2.1%,200,0.1%,"14,011",Sentinel
14,15,Astra,1.04, 15.5  /  14.9  /  8.5 ,49.7%,2.0%,209,0.1%,"13,501",Controller
15,16,Fade,0.99, 14.9  /  15  /  7 ,50.3%,1.2%,203,0.1%,"8,202",Initiator
16,17,Yoru,1.01, 16.1  /  15.9  /  4.5 ,48.0%,0.9%,221,0.2%,"5,682",Duelist
17,18,Breach,0.93, 14.5  /  15.5  /  7.9 ,46.2%,0.6%,199,0.1%,"4,210",Initiator
18,19,Gekko,0.95, 14.5  /  15.3  /  4.8 ,46.7%,0.4%,194,0.1%,"2,529",Initiator
19,20,Neon,0.98, 16.2  /  16.5  /  4 ,46.3%,0.3%,223,0.2%,"2,260",Duelist
20,21,Viper,1.03, 15.3  /  14.8  /  6.1 ,48.9%,0.2%,209,0.1%,"1,055",Controller
21,22,Harbor,0.93, 14.5  /  15.6  /  6.4 ,41.9%,0.1%,199,580,,Controller
