,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.06, 17.5  /  16.5  /  3.7 ,49.8%,18.7%,233,0.1%,727.0,Duelist
1,2,Killjoy,1.07, 15.9  /  14.9  /  3.5 ,53.3%,14.7%,209,0.2%,570.0,Sentinel
2,3,Sova,1.1, 15.9  /  14.5  /  6.4 ,53.2%,14.2%,217,0.2%,551.0,Initiator
3,4,Omen,1.05, 15.7  /  14.9  /  10 ,50.1%,12.4%,215,0.1%,483.0,Controller
4,5,Gekko,0.95, 14.6  /  15.3  /  5.7 ,46.5%,11.5%,196,0.1%,447.0,Initiator
5,6,Reyna,1.12, 18  /  16  /  4.6 ,46.4%,7.6%,245,0.1%,295.0,Duelist
6,7,KAY/O,0.89, 14.4  /  16.1  /  10.2 ,39.4%,4.8%,201,0.1%,188.0,Initiator
7,8,Cypher,1.17, 17.2  /  14.7  /  4.5 ,49.1%,2.9%,225,0.2%,112.0,Sentinel
8,9,Astra,1.06, 15.5  /  14.6  /  9.4 ,69.6%,2.4%,212,0.1%,92.0,Controller
9,10,Raze,1.03, 15.6  /  15  /  5.8 ,69.0%,2.2%,243,0.1%,84.0,Duelist
10,11,Brimstone,1.03, 15.1  /  14.6  /  13.1 ,47.0%,2.1%,215,0.1%,83.0,Controller
11,12,Phoenix,1.12, 17.7  /  15.7  /  5 ,47.4%,2.0%,247,0.1%,76.0,Duelist
12,13,Sage,0.87, 12.9  /  14.9  /  6.2 ,46.7%,1.2%,184,0.2%,45.0,Sentinel
13,14,Fade,1.07, 14.9  /  13.9  /  6.7 ,60.5%,1.1%,212,0.2%,43.0,Initiator
14,15,Yoru,1.25, 22.5  /  18  /  5.5 ,60.0%,0.6%,272,0.1%,25.0,Duelist
15,16,Chamber,1.02, 16.3  /  16  /  2 ,65.0%,0.5%,210,0.1%,20.0,Sentinel
16,17,Skye,1.11, 15.1  /  13.6  /  8 ,23.5%,0.4%,215,0.2%,,Initiator
17,18,Neon,0.9, 14.3  /  15.9  /  4.7 ,58.3%,0.3%,203,0.1%,12.0,Duelist
18,19,Breach,1.12, 16.5  /  14.8  /  9.3 ,75.0%,0.1%,231,4,,Initiator
19,20,Viper,1.13, 18  /  16  /  9 ,100.0%,0.1%,237,4,,Controller
20,21,Harbor,0.62, 12  /  19.3  /  5.5 ,100.0%,0.1%,150,0.2%,4.0,Controller
