,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.79, 11.3  /  14.3  /  6.4 ,49.4%,13.3%,166,0.1%,"542,511"
1,2,Reyna,1.04, 15.3  /  14.7  /  4.7 ,49.1%,11.1%,223,0.1%,"454,253"
2,3,Raze,0.92, 13.8  /  14.9  /  4.9 ,49.0%,6.7%,209,0.1%,"272,839"
3,4,Jett,0.96, 14.3  /  15  /  4 ,48.2%,6.5%,209,0.1%,"265,273"
4,5,Omen,0.87, 12.8  /  14.7  /  5.1 ,47.8%,6.3%,186,0.1%,"259,265"
5,6,Gekko,0.82, 11.9  /  14.6  /  4.8 ,49.4%,5.5%,174,0.1%,"224,082"
6,7,Killjoy,0.88, 12.2  /  13.8  /  4.2 ,50.8%,4.9%,182,0.1%,"200,890"
7,8,Phoenix,0.93, 13.7  /  14.7  /  4.5 ,47.4%,4.8%,203,0.1%,"196,723"
8,9,Yoru,0.88, 13.1  /  15  /  4.4 ,46.1%,4.3%,191,0.1%,"177,680"
9,10,Fade,0.81, 11.9  /  14.7  /  6.2 ,48.2%,4.3%,177,0.1%,"177,042"
10,11,Viper,0.86, 12.3  /  14.3  /  5.3 ,48.9%,4.3%,182,0.1%,"175,497"
11,12,Skye,0.82, 11.9  /  14.5  /  7.3 ,49.0%,4.1%,177,0.1%,"168,461"
12,13,Sova,0.83, 12  /  14.5  /  5.1 ,47.5%,4.1%,179,0.1%,"166,041"
13,14,Neon,0.88, 13.6  /  15.3  /  4.2 ,47.6%,3.9%,200,0.1%,"157,799"
14,15,Brimstone,0.87, 12.5  /  14.4  /  6.4 ,49.3%,3.7%,187,0.1%,"153,371"
15,16,Cypher,0.88, 12.3  /  14  /  4.9 ,48.5%,3.0%,178,0.1%,"122,565"
16,17,KAY/O,0.79, 11.8  /  14.9  /  7.5 ,46.2%,2.9%,178,0.1%,"119,561"
17,18,Chamber,0.94, 13.5  /  14.3  /  3.5 ,47.7%,2.6%,193,0.1%,"108,229"
18,19,Harbor,0.8, 11.8  /  14.7  /  5.5 ,47.5%,1.6%,173,0.1%,"66,303"
19,20,Breach,0.86, 12.7  /  14.8  /  5.6 ,48.5%,1.3%,187,0.1%,"53,489"
20,21,Astra,0.93, 13  /  13.9  /  5.1 ,49.5%,0.8%,187,0.1%,"32,466"
