,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.1, 17.4  /  15.8  /  3.7 ,49.6%,13.0%,241,0.2%,"358,719",Duelist
1,2,Omen,0.99, 14.9  /  15.1  /  7.5 ,49.2%,11.7%,206,0.1%,"321,887",Controller
2,3,Reyna,1.14, 17.9  /  15.7  /  4.4 ,49.8%,11.6%,247,0.2%,"320,135",Duelist
3,4,Sage,0.93, 13.8  /  14.9  /  7 ,50.4%,7.0%,192,0.1%,"192,963",Sentinel
4,5,Sova,1.0, 14.7  /  14.6  /  5.6 ,49.9%,6.3%,204,0.1%,"174,609",Initiator
5,6,Skye,0.95, 14.3  /  15.1  /  7.6 ,49.6%,5.7%,199,0.1%,"156,504",Initiator
6,7,Killjoy,1.01, 14.5  /  14.4  /  3.5 ,50.4%,5.6%,200,0.1%,"154,140",Sentinel
7,8,Raze,1.05, 16.6  /  15.8  /  4.7 ,49.6%,5.1%,238,0.2%,"140,342",Duelist
8,9,Brimstone,0.97, 14.4  /  14.9  /  8.8 ,50.4%,4.9%,204,0.1%,"136,474",Controller
9,10,Deadlock,0.99, 15  /  15.1  /  3.8 ,49.4%,4.4%,217,0.1%,"122,254",Sentinel
10,11,Chamber,1.08, 16.2  /  14.9  /  2.9 ,48.9%,4.0%,218,0.2%,"110,754",Sentinel
11,12,Phoenix,1.12, 17.4  /  15.5  /  4.6 ,50.6%,3.7%,242,0.2%,"102,305",Duelist
12,13,Cypher,1.02, 14.8  /  14.6  /  4.7 ,49.6%,3.1%,202,0.1%,"86,537",Sentinel
13,14,Breach,0.94, 14.5  /  15.3  /  6.8 ,48.9%,2.9%,201,0.1%,"79,116",Initiator
14,15,Gekko,0.94, 14.2  /  15.1  /  4.9 ,49.3%,2.1%,194,0.1%,"56,780",Initiator
15,16,Fade,0.95, 14.4  /  15.1  /  6.5 ,49.2%,1.9%,200,0.1%,"51,614",Initiator
16,17,KAY/O,0.92, 14.3  /  15.6  /  8.9 ,45.7%,1.9%,204,0.1%,"51,424",Initiator
17,18,Astra,1.03, 15.1  /  14.7  /  6.5 ,48.9%,1.7%,206,0.1%,"46,790",Controller
18,19,Yoru,1.02, 16  /  15.7  /  4.4 ,47.1%,1.3%,220,0.2%,"34,902",Duelist
19,20,Neon,0.98, 16.1  /  16.3  /  4 ,47.1%,1.1%,225,0.2%,"31,252",Duelist
20,21,Viper,0.98, 14.6  /  14.8  /  5.7 ,48.0%,0.8%,203,0.1%,"22,865",Controller
21,22,Harbor,0.9, 13.8  /  15.3  /  5.9 ,44.6%,0.3%,192,0.1%,"7,662",Controller
