,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.15, 17.3  /  15.1  /  4.5 ,50.7%,12.0%,247,0.1%,"886,856",Duelist
1,2,Sage,0.9, 13  /  14.5  /  6.7 ,50.2%,11.9%,187,0.1%,"878,058",Sentinel
2,3,Omen,0.98, 14.5  /  14.8  /  5.9 ,49.3%,9.2%,206,0.1%,"681,882",Controller
3,4,Jett,1.09, 16.6  /  15.2  /  3.9 ,50.3%,7.9%,237,0.1%,"586,217",Duelist
4,5,Raze,1.03, 15.6  /  15.3  /  4.8 ,50.0%,6.4%,231,0.1%,"473,776",Duelist
5,6,Killjoy,0.97, 13.6  /  14.1  /  4 ,50.7%,6.1%,196,0.1%,"450,062",Sentinel
6,7,Brimstone,0.96, 14  /  14.6  /  7.2 ,50.6%,5.1%,204,0.1%,"379,199",Controller
7,8,Skye,0.91, 13.5  /  14.8  /  7.3 ,49.5%,4.7%,194,0.1%,"344,738",Initiator
8,9,Sova,0.96, 13.8  /  14.4  /  5.2 ,49.5%,4.6%,199,0.1%,"337,975",Initiator
9,10,Gekko,0.91, 13.5  /  14.8  /  4.9 ,49.9%,4.5%,192,0.1%,"333,245",Initiator
10,11,Phoenix,1.08, 16.1  /  14.9  /  4.5 ,50.0%,4.0%,231,0.1%,"298,433",Duelist
11,12,Cypher,0.98, 14  /  14.2  /  4.9 ,49.2%,3.1%,197,0.1%,"229,077",Sentinel
12,13,Fade,0.91, 13.6  /  14.9  /  6.2 ,49.3%,3.0%,195,0.1%,"222,174",Initiator
13,14,Chamber,1.05, 15.1  /  14.5  /  3.3 ,48.7%,2.8%,211,0.1%,"208,715",Sentinel
14,15,KAY/O,0.89, 13.5  /  15.2  /  8.1 ,46.8%,2.7%,198,0.1%,"198,202",Initiator
15,16,Neon,0.98, 15.4  /  15.7  /  4.1 ,48.2%,2.7%,222,0.1%,"197,196",Duelist
16,17,Viper,0.95, 13.8  /  14.6  /  5.3 ,48.6%,2.5%,199,0.1%,"187,986",Controller
17,18,Yoru,0.98, 14.8  /  15.2  /  4.4 ,47.2%,2.5%,211,0.1%,"183,283",Duelist
18,19,Breach,0.94, 14.1  /  15.1  /  5.8 ,49.4%,2.1%,203,0.1%,"157,748",Initiator
19,20,Astra,1.0, 14.4  /  14.3  /  5.5 ,48.9%,1.0%,202,0.1%,"71,524",Controller
20,21,Harbor,0.89, 13.3  /  15  /  5.6 ,46.9%,0.9%,191,0.1%,"67,483",Controller
