,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.3  /  16.1  /  3.7 ,49.1%,15.2%,237,0.1%,"12,326"
1,2,Omen,1, 15.2  /  15.1  /  8.4 ,49.7%,12.2%,207,0.1%,"9,903"
2,3,Reyna,1.1, 17.6  /  16  /  4.5 ,49.9%,9.3%,241,0.1%,"7,558"
3,4,Sova,1, 14.8  /  14.8  /  6 ,48.7%,8.4%,205,0.2%,"6,839"
4,5,Killjoy,1.03, 15  /  14.6  /  3.6 ,50.6%,7.4%,204,0.2%,"6,020"
5,6,Gekko,0.96, 14.5  /  15.1  /  5.6 ,51.9%,7.0%,197,0.1%,"5,711"
6,7,Cypher,1.01, 15  /  14.8  /  4.7 ,49.7%,5.5%,204,0.1%,"4,437"
7,8,Sage,0.96, 14.4  /  15.1  /  7.2 ,50.4%,5.4%,199,0.1%,"4,356"
8,9,Raze,1.04, 16.9  /  16.2  /  4.7 ,48.3%,4.3%,239,0.1%,"3,526"
9,10,Brimstone,0.99, 14.9  /  15  /  9.6 ,53.0%,4.3%,211,0.1%,"3,495"
10,11,Phoenix,1.11, 17.4  /  15.6  /  4.8 ,51.5%,3.8%,242,0.1%,"3,078"
11,12,Skye,0.95, 14.7  /  15.5  /  7.8 ,48.7%,3.3%,203,0.1%,"2,710"
12,13,Fade,0.96, 14.6  /  15.2  /  6.9 ,47.5%,2.9%,202,0.1%,"2,326"
13,14,Breach,0.94, 14.5  /  15.4  /  7.7 ,48.5%,2.4%,200,0.1%,"1,953"
14,15,Chamber,1.07, 16.5  /  15.4  /  2.8 ,45.4%,2.3%,219,0.1%,"1,831"
15,16,Astra,1.01, 15  /  14.9  /  7.3 ,48.1%,2.2%,203,0.2%,"1,801"
16,17,KAY/O,0.93, 14.6  /  15.6  /  9.7 ,47.1%,1.9%,208,0.1%,"1,504"
17,18,Yoru,1, 15.7  /  15.7  /  4.5 ,49.9%,0.8%,220,0.1%,687
18,19,Neon,0.98, 16  /  16.4  /  4.5 ,48.1%,0.8%,224,0.1%,619
19,20,Harbor,0.93, 14.2  /  15.2  /  6.9 ,43.1%,0.3%,197,0.1%,246
20,21,Viper,0.96, 14.9  /  15.6  /  6.3 ,43.1%,0.2%,206,0.1%,188
