,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.5  /  16.1  /  3.7 ,49.1%,16.0%,239,0.1%,"12,551"
1,2,Omen,0.98, 14.8  /  15.1  /  8.2 ,48.9%,12.4%,203,0.1%,"9,769"
2,3,Reyna,1.12, 17.8  /  15.9  /  4.5 ,51.0%,10.2%,244,0.1%,"7,992"
3,4,Sova,1.01, 14.9  /  14.7  /  6 ,50.1%,9.4%,207,0.2%,"7,364"
4,5,Killjoy,1.04, 15  /  14.5  /  3.6 ,51.6%,7.5%,205,0.2%,"5,925"
5,6,Sage,0.96, 14.3  /  14.9  /  7.1 ,52.9%,5.6%,199,0.1%,"4,395"
6,7,Cypher,1.03, 15.3  /  14.9  /  4.8 ,47.9%,5.5%,204,0.1%,"4,336"
7,8,Raze,1.04, 16.4  /  15.8  /  4.6 ,49.5%,4.7%,235,0.1%,"3,712"
8,9,Phoenix,1.1, 17.3  /  15.7  /  4.7 ,49.4%,4.4%,242,0.1%,"3,473"
9,10,Skye,0.94, 14.6  /  15.5  /  7.5 ,46.7%,4.4%,201,0.1%,"3,432"
10,11,Brimstone,0.98, 14.7  /  15  /  9.5 ,51.3%,4.3%,206,0.2%,"3,347"
11,12,Fade,0.96, 14.7  /  15.3  /  6.8 ,47.1%,3.4%,202,0.1%,"2,685"
12,13,Breach,0.95, 14.7  /  15.4  /  7.6 ,49.0%,2.9%,203,0.1%,"2,304"
13,14,Chamber,1.09, 16.6  /  15.3  /  2.7 ,47.1%,2.5%,222,0.1%,"1,955"
14,15,Astra,1.03, 15.4  /  14.9  /  6.9 ,48.8%,2.3%,206,0.2%,"1,796"
15,16,KAY/O,0.91, 14.3  /  15.7  /  9.7 ,43.3%,2.2%,205,0.1%,"1,690"
16,17,Yoru,1, 15.8  /  15.8  /  4.7 ,51.5%,0.8%,216,0.1%,655
17,18,Neon,0.96, 15.7  /  16.4  /  4.1 ,45.9%,0.8%,222,0.1%,606
18,19,Harbor,0.85, 13.4  /  15.8  /  6.2 ,35.7%,0.4%,186,0.1%,277
19,20,Viper,0.97, 14.3  /  14.7  /  6.5 ,55.1%,0.3%,200,0.1%,225
