,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.77, 11  /  14.4  /  6 ,50.3%,14.4%,162,0.1%,"7,463",Sentinel
1,2,Reyna,0.98, 14.6  /  14.9  /  4.4 ,49.1%,10.7%,214,0.1%,"5,535",Duelist
2,3,Raze,0.9, 13.3  /  14.7  /  4.4 ,49.5%,7.2%,202,0.1%,"3,743",Duelist
3,4,Jett,0.92, 13.8  /  15  /  3.9 ,49.6%,6.7%,203,0.1%,"3,481",Duelist
4,5,Viper,0.81, 11.7  /  14.5  /  4.8 ,48.5%,5.8%,173,0.1%,"3,005",Controller
5,6,Omen,0.87, 12.9  /  14.8  /  4.4 ,49.3%,5.7%,188,0.1%,"2,946",Controller
6,7,Sova,0.82, 11.8  /  14.5  /  4.7 ,49.4%,5.6%,175,0.1%,"2,895",Initiator
7,8,Killjoy,0.87, 12  /  13.8  /  4.2 ,51.3%,5.4%,181,0.2%,"2,809",Sentinel
8,9,Fade,0.79, 11.6  /  14.8  /  5.9 ,48.0%,5.3%,173,0.1%,"2,727",Initiator
9,10,Yoru,0.83, 12.5  /  15  /  3.9 ,46.9%,5.1%,184,0.1%,"2,632",Duelist
10,11,Neon,0.87, 13.3  /  15.2  /  4 ,50.3%,4.4%,197,0.1%,"2,304",Duelist
11,12,Phoenix,0.89, 13  /  14.6  /  4 ,47.9%,4.1%,193,0.1%,"2,128",Duelist
12,13,Gekko,0.83, 12.1  /  14.6  /  4.4 ,53.1%,3.3%,177,0.1%,"1,734",Initiator
13,14,Skye,0.74, 10.8  /  14.5  /  6.4 ,49.4%,3.3%,162,0.1%,"1,718",Initiator
14,15,KAY/O,0.81, 11.9  /  14.8  /  7.3 ,47.5%,3.2%,180,0.1%,"1,653",Initiator
15,16,Brimstone,0.86, 12.4  /  14.5  /  5.5 ,49.9%,2.9%,185,0.1%,"1,492",Controller
16,17,Cypher,0.84, 11.8  /  14  /  4.8 ,47.0%,2.1%,173,0.1%,"1,095",Sentinel
17,18,Chamber,0.93, 13.3  /  14.4  /  3.4 ,50.4%,2.1%,190,0.1%,"1,078",Sentinel
18,19,Breach,0.83, 12.6  /  15.1  /  5.1 ,48.8%,1.2%,184,0.1%,629,Initiator
19,20,Harbor,0.79, 11.5  /  14.5  /  5.1 ,51.7%,1.2%,171,0.1%,623,Controller
20,21,Astra,0.93, 12.7  /  13.8  /  4.2 ,56.6%,0.4%,182,0.1%,228,Controller
