,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Reyna,1.14, 17.7  /  15.5  /  4 ,51.1%,15.2%,248,0.2%,"3,037,764"
1,2,Jett,1.14, 17.7  /  15.5  /  3.8 ,50.8%,14.9%,248,0.2%,"2,981,358"
2,3,Sage,0.94, 13.7  /  14.6  /  6.8 ,51.1%,12.8%,190,0.1%,"2,555,967"
3,4,Sova,0.99, 14.4  /  14.5  /  5.9 ,51.0%,7.0%,204,0.1%,"1,402,551"
4,5,Raze,1.03, 16.2  /  15.7  /  4.8 ,50.6%,6.4%,237,0.2%,"1,270,410"
5,6,Viper,0.99, 14.3  /  14.5  /  5.3 ,50.9%,6.1%,199,0.1%,"1,210,434"
6,7,Killjoy,0.98, 14  /  14.3  /  3.9 ,50.9%,5.6%,200,0.1%,"1,128,324"
7,8,Omen,0.97, 14.7  /  15.2  /  5.1 ,48.8%,5.6%,203,0.1%,"1,124,805"
8,9,Chamber,1.07, 15.9  /  14.8  /  3.1 ,50.4%,5.2%,218,0.1%,"1,031,883"
9,10,Skye,0.95, 14.3  /  15.1  /  5.9 ,49.3%,5.0%,199,0.1%,"1,004,802"
10,11,Brimstone,0.96, 14.4  /  14.9  /  6.5 ,50.8%,3.7%,202,0.1%,"738,888"
11,12,Cypher,0.97, 14.1  /  14.6  /  4.1 ,49.1%,3.1%,196,0.1%,"610,164"
12,13,Astra,1, 14.6  /  14.6  /  5.3 ,50.1%,2.8%,200,0.1%,"561,408"
13,14,Phoenix,1.05, 16.2  /  15.4  /  3.8 ,48.4%,2.1%,230,0.2%,"413,712"
14,15,Breach,0.93, 14.3  /  15.4  /  5.2 ,47.8%,2.0%,200,0.1%,"405,093"
15,16,KAY/O,0.91, 14.1  /  15.5  /  7.3 ,45.8%,1.6%,199,0.1%,"328,083"
16,17,Yoru,0.97, 15.2  /  15.6  /  3.4 ,44.1%,0.9%,214,0.2%,"184,467"
