,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.5  /  16.3  /  3.5 ,50.0%,19.9%,236,0.1%,"108,882"
1,2,Sova,1.03, 15  /  14.6  /  6.4 ,50.4%,16.4%,206,0.1%,"89,588"
2,3,Omen,0.99, 15  /  15.1  /  10.1 ,49.6%,15.1%,203,0.1%,"82,400"
3,4,Killjoy,1.05, 15.4  /  14.6  /  3.5 ,50.4%,12.7%,207,0.1%,"69,529"
4,5,Reyna,1.11, 17.6  /  15.9  /  4.4 ,51.4%,8.7%,237,0.1%,"47,743"
5,6,KAY/O,0.93, 14.6  /  15.7  /  10.2 ,46.4%,6.3%,204,0.1%,"34,442"
6,7,Cypher,1.03, 15.3  /  14.8  /  4.9 ,49.7%,3.2%,202,0.1%,"17,653"
7,8,Raze,1.03, 16.5  /  16.1  /  5 ,50.5%,2.9%,234,0.1%,"15,951"
8,9,Phoenix,1.09, 17.2  /  15.8  /  5.1 ,52.6%,2.6%,236,0.1%,"14,141"
9,10,Chamber,1.09, 16.7  /  15.3  /  2.6 ,48.7%,2.3%,219,0.1%,"12,549"
10,11,Astra,1.04, 15.4  /  14.9  /  8.9 ,48.9%,1.9%,208,0.1%,"10,435"
11,12,Brimstone,0.99, 14.7  /  15  /  11.6 ,53.4%,1.8%,208,0.1%,"10,048"
12,13,Sage,1.01, 15.1  /  15  /  7.2 ,53.3%,1.4%,204,0.1%,"7,669"
13,14,Skye,0.95, 14.7  /  15.4  /  7.8 ,48.6%,1.4%,199,0.1%,"7,504"
14,15,Fade,0.99, 14.9  /  15.1  /  7.4 ,49.6%,1.3%,203,0.1%,"6,937"
15,16,Yoru,1.03, 16.5  /  16  /  4.8 ,48.2%,0.9%,223,0.1%,"4,853"
16,17,Gekko,0.96, 14.6  /  15.1  /  4.8 ,51.0%,0.3%,196,0.1%,"1,836"
17,18,Neon,0.95, 15.7  /  16.5  /  4.2 ,46.5%,0.3%,214,0.1%,"1,786"
18,19,Breach,0.95, 14.7  /  15.5  /  8.3 ,47.6%,0.3%,201,0.1%,"1,623"
19,20,Viper,1.05, 15.9  /  15.1  /  6.3 ,46.8%,0.1%,215,743,
20,21,Harbor,0.9, 14  /  15.6  /  7.3 ,46.0%,0.1%,191,506,
