,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.84, 12.1  /  14.4  /  6.6 ,49.7%,12.5%,176,0.1%,"660,723"
1,2,Reyna,1.08, 16.1  /  14.9  /  4.7 ,50.0%,11.1%,233,0.1%,"586,814"
2,3,Omen,0.92, 13.6  /  14.8  /  5.4 ,48.8%,7.7%,195,0.1%,"408,281"
3,4,Raze,0.97, 14.7  /  15.1  /  5.2 ,50.0%,7.5%,223,0.1%,"398,088"
4,5,Jett,1.01, 15.3  /  15.1  /  4 ,49.2%,6.3%,221,0.1%,"333,078"
5,6,Gekko,0.86, 12.7  /  14.8  /  4.8 ,49.4%,5.6%,182,0.1%,"298,360"
6,7,Killjoy,0.92, 12.8  /  14  /  4 ,50.3%,5.5%,188,0.1%,"289,896"
7,8,Skye,0.86, 12.5  /  14.6  /  7.5 ,49.2%,5.0%,184,0.1%,"266,513"
8,9,Phoenix,0.99, 14.7  /  14.8  /  4.6 ,48.8%,4.2%,215,0.1%,"223,600"
9,10,Brimstone,0.9, 13.2  /  14.6  /  6.7 ,49.6%,4.1%,196,0.1%,"219,265"
10,11,Fade,0.84, 12.5  /  14.8  /  6.2 ,48.5%,3.7%,183,0.1%,"195,322"
11,12,Sova,0.88, 12.8  /  14.6  /  5.2 ,48.2%,3.6%,188,0.1%,"192,669"
12,13,Neon,0.93, 14.4  /  15.5  /  4.3 ,48.2%,3.6%,211,0.1%,"190,026"
13,14,Yoru,0.9, 13.7  /  15.1  /  4.5 ,46.1%,3.4%,198,0.1%,"179,706"
14,15,Viper,0.9, 13  /  14.5  /  5.3 ,48.7%,3.3%,191,0.1%,"177,254"
15,16,KAY/O,0.83, 12.5  /  15.1  /  8.3 ,46.6%,3.0%,188,0.1%,"156,816"
16,17,Chamber,0.99, 14.3  /  14.5  /  3.5 ,48.9%,2.7%,203,0.1%,"143,484"
17,18,Cypher,0.92, 13.1  /  14.2  /  4.8 ,48.4%,2.7%,187,0.1%,"142,375"
18,19,Breach,0.89, 13.3  /  15  /  5.9 ,49.5%,2.2%,194,0.1%,"114,987"
19,20,Harbor,0.84, 12.5  /  15  /  5.5 ,46.9%,1.5%,182,0.1%,"80,516"
20,21,Astra,0.96, 13.7  /  14.3  /  5.1 ,49.4%,0.8%,195,0.1%,"42,509"
