,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.82, 11.8  /  14.4  /  6.8 ,50.1%,12.3%,172,0.1%,"371,987"
1,2,Reyna,1.05, 15.8  /  15.1  /  4.6 ,49.7%,10.8%,228,0.2%,"326,441"
2,3,Omen,0.92, 13.7  /  14.8  /  5.5 ,49.4%,7.9%,195,0.1%,"238,127"
3,4,Raze,0.96, 14.6  /  15.2  /  5.1 ,50.1%,7.4%,220,0.2%,"222,911"
4,5,Jett,0.97, 14.8  /  15.3  /  4 ,48.6%,5.7%,215,0.2%,"171,943"
5,6,Skye,0.84, 12.3  /  14.6  /  7.6 ,49.5%,5.5%,180,0.1%,"165,954"
6,7,Deadlock,0.9, 13.3  /  14.7  /  4.1 ,49.2%,4.9%,195,0.1%,"146,873"
7,8,Killjoy,0.92, 12.9  /  14.1  /  4.1 ,50.9%,4.7%,188,0.1%,"140,698"
8,9,Gekko,0.83, 12.4  /  14.8  /  4.6 ,49.1%,4.6%,178,0.1%,"138,146"
9,10,Brimstone,0.9, 13.2  /  14.7  /  6.9 ,49.8%,4.3%,194,0.1%,"129,050"
10,11,Phoenix,0.97, 14.4  /  14.9  /  4.6 ,48.6%,4.0%,211,0.2%,"120,497"
11,12,Cypher,0.93, 13.1  /  14.2  /  5 ,49.8%,3.4%,187,0.1%,"103,928"
12,13,Yoru,0.9, 13.6  /  15.1  /  4.3 ,46.5%,3.3%,197,0.1%,"100,014"
13,14,Fade,0.83, 12.3  /  14.9  /  5.9 ,48.8%,3.2%,179,0.1%,"97,946"
14,15,Viper,0.88, 12.8  /  14.5  /  5.1 ,48.9%,3.2%,187,0.1%,"97,468"
15,16,Sova,0.87, 12.7  /  14.6  /  5 ,48.3%,3.2%,186,0.1%,"96,818"
16,17,Neon,0.9, 14  /  15.6  /  4.2 ,47.8%,3.2%,204,0.2%,"95,636"
17,18,KAY/O,0.82, 12.3  /  15.1  /  7.7 ,47.1%,2.6%,183,0.1%,"78,436"
18,19,Chamber,0.96, 14  /  14.7  /  3.5 ,47.8%,2.2%,199,0.2%,"65,427"
19,20,Breach,0.88, 13.3  /  15.1  /  5.7 ,48.9%,1.9%,193,0.1%,"57,944"
20,21,Astra,0.94, 13.4  /  14.3  /  5.3 ,49.3%,0.9%,192,0.1%,"27,055"
21,22,Harbor,0.82, 12.3  /  15  /  5.2 ,46.0%,0.9%,179,0.1%,"26,603"
