,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.4  /  16.1  /  3.5 ,49.4%,18.5%,235,0.2%,"79,564",Duelist
1,2,Omen,0.98, 14.8  /  15.1  /  8.9 ,49.2%,14.0%,201,0.1%,"60,224",Controller
2,3,Sova,1.0, 14.8  /  14.7  /  5.9 ,49.6%,11.7%,204,0.1%,"50,370",Initiator
3,4,Reyna,1.1, 17.4  /  15.9  /  4.3 ,49.3%,10.1%,237,0.2%,"43,534",Duelist
4,5,Killjoy,1.05, 15.4  /  14.6  /  3.3 ,50.7%,7.7%,207,0.1%,"33,279",Sentinel
5,6,Skye,0.95, 14.5  /  15.2  /  7.8 ,49.4%,5.4%,197,0.1%,"23,033",Initiator
6,7,Cypher,1.03, 15.3  /  14.8  /  4.5 ,49.1%,4.3%,204,0.1%,"18,597",Sentinel
7,8,Chamber,1.09, 16.6  /  15.2  /  2.6 ,47.5%,4.2%,219,0.2%,"18,011",Sentinel
8,9,Phoenix,1.1, 17.3  /  15.7  /  4.8 ,51.4%,3.7%,238,0.2%,"15,848",Duelist
9,10,Raze,1.04, 16.8  /  16.1  /  4.6 ,50.4%,3.6%,237,0.2%,"15,621",Duelist
10,11,Deadlock,1.02, 15.5  /  15.2  /  3.7 ,49.1%,3.1%,215,0.1%,"13,432",Sentinel
11,12,Brimstone,0.98, 14.6  /  14.9  /  10.1 ,52.4%,2.8%,205,0.1%,"11,836",Controller
12,13,Sage,0.97, 14.7  /  15.1  /  6.9 ,50.7%,2.5%,201,0.1%,"10,678",Sentinel
13,14,Breach,0.95, 14.5  /  15.3  /  8 ,48.9%,2.3%,199,0.1%,"9,958",Initiator
14,15,Astra,1.03, 15.3  /  14.8  /  7.5 ,48.7%,1.9%,204,0.1%,"8,258",Controller
15,16,Fade,0.98, 14.7  /  15.1  /  6.9 ,49.5%,1.1%,201,0.1%,"4,779",Initiator
16,17,Yoru,1.01, 16  /  15.8  /  4.6 ,49.9%,1.0%,218,0.2%,"4,161",Duelist
17,18,KAY/O,0.93, 14.7  /  15.8  /  10 ,44.1%,0.7%,206,0.1%,"3,201",Initiator
18,19,Gekko,0.94, 14.4  /  15.4  /  5.1 ,48.6%,0.5%,194,0.1%,"2,153",Initiator
19,20,Neon,0.98, 16.3  /  16.7  /  4.3 ,48.2%,0.4%,224,0.2%,"1,905",Duelist
20,21,Viper,1.04, 15.5  /  14.9  /  6.1 ,48.8%,0.2%,214,0.1%,711,Controller
21,22,Harbor,0.94, 14.2  /  15.1  /  6.2 ,43.6%,0.1%,196,376,,Controller
