,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.95, 14.2  /  14.9  /  7.6 ,51.0%,12.6%,198,0.1%,"22,941"
1,2,Raze,1.05, 17  /  16.1  /  5 ,51.2%,10.7%,245,0.1%,"19,416"
2,3,Jett,1.07, 17.3  /  16.2  /  3.8 ,47.9%,10.6%,239,0.1%,"19,315"
3,4,Reyna,1.13, 17.9  /  15.8  /  4.5 ,50.1%,9.7%,247,0.1%,"17,560"
4,5,Omen,1, 15.1  /  15.2  /  7.3 ,48.8%,9.1%,208,0.1%,"16,516"
5,6,Killjoy,1.02, 14.7  /  14.5  /  3.8 ,49.8%,6.4%,204,0.2%,"11,569"
6,7,Skye,0.97, 14.7  /  15.1  /  7.8 ,49.0%,6.1%,204,0.1%,"11,015"
7,8,Cypher,1.02, 14.9  /  14.6  /  4.8 ,48.9%,5.8%,202,0.2%,"10,506"
8,9,Brimstone,0.98, 14.7  /  15  /  8.9 ,51.1%,4.5%,210,0.1%,"8,241"
9,10,KAY/O,0.92, 14.5  /  15.7  /  8.9 ,45.4%,3.7%,205,0.1%,"6,664"
10,11,Fade,0.96, 14.5  /  15.1  /  6.1 ,47.5%,3.5%,201,0.1%,"6,335"
11,12,Astra,1.05, 15.3  /  14.6  /  6.9 ,48.2%,3.1%,210,0.1%,"5,607"
12,13,Breach,0.96, 14.7  /  15.4  /  7.1 ,51.5%,3.1%,204,0.1%,"5,583"
13,14,Phoenix,1.11, 17.3  /  15.6  /  4.7 ,48.5%,2.5%,241,0.1%,"4,482"
14,15,Viper,1.01, 14.9  /  14.7  /  5.6 ,48.4%,2.2%,208,0.1%,"4,028"
15,16,Sova,0.99, 14.7  /  14.8  /  5.3 ,49.6%,2.1%,207,0.1%,"3,836"
16,17,Chamber,1.09, 16.4  /  15.1  /  3 ,48.5%,1.9%,222,0.1%,"3,426"
17,18,Neon,0.96, 15.7  /  16.3  /  4.3 ,44.1%,1.0%,222,0.1%,"1,859"
18,19,Yoru,1.02, 16.2  /  15.8  /  4.6 ,47.7%,1.0%,222,0.1%,"1,753"
19,20,Harbor,0.94, 14.4  /  15.2  /  5.9 ,46.3%,0.6%,198,0.1%,"1,142"
