,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.72, 10.2  /  14.1  /  5.4 ,50.9%,13.7%,152,0.1%,"2,749",Sentinel
1,2,Reyna,0.96, 13.8  /  14.3  /  4.1 ,48.8%,11.0%,204,0.1%,"2,207",Duelist
2,3,Raze,0.84, 12.3  /  14.7  /  4.2 ,48.2%,7.8%,188,0.1%,"1,571",Duelist
3,4,Jett,0.87, 12.5  /  14.3  /  3.4 ,49.3%,7.3%,186,0.1%,"1,462",Duelist
4,5,Omen,0.85, 12.3  /  14.5  /  4.3 ,49.2%,6.0%,179,0.1%,"1,208",Controller
5,6,Yoru,0.8, 11.7  /  14.6  /  3.7 ,46.8%,6.0%,172,0.1%,"1,203",Duelist
6,7,Fade,0.73, 10.5  /  14.4  /  5.3 ,47.5%,5.6%,159,0.1%,"1,121",Initiator
7,8,Phoenix,0.84, 12  /  14.3  /  3.8 ,46.5%,5.2%,180,0.1%,"1,047",Duelist
8,9,Neon,0.82, 12.4  /  15.1  /  3.7 ,47.6%,5.2%,181,0.1%,"1,033",Duelist
9,10,Killjoy,0.84, 11.3  /  13.5  /  4 ,53.9%,5.1%,172,0.2%,"1,030",Sentinel
10,11,Sova,0.78, 11  /  14.3  /  4.3 ,47.6%,4.8%,165,0.2%,958,Initiator
11,12,Viper,0.76, 11.1  /  14.6  /  4.4 ,45.0%,3.8%,163,0.1%,763,Controller
12,13,Skye,0.72, 10.5  /  14.5  /  6.4 ,48.9%,3.8%,157,0.1%,756,Initiator
13,14,Brimstone,0.86, 11.9  /  13.8  /  5.2 ,51.0%,3.4%,178,0.1%,682,Controller
14,15,KAY/O,0.76, 11.5  /  15.1  /  7.3 ,49.4%,3.0%,170,0.1%,605,Initiator
15,16,Cypher,0.84, 11.7  /  13.9  /  4.7 ,50.0%,2.6%,169,0.2%,528,Sentinel
16,17,Chamber,0.92, 12.8  /  14  /  3.5 ,47.6%,2.2%,185,0.1%,431,Sentinel
17,18,Breach,0.76, 11.5  /  15.2  /  4.8 ,38.7%,1.5%,172,0.1%,305,Initiator
18,19,Harbor,0.81, 11.3  /  13.9  /  4.8 ,51.3%,1.1%,171,0.1%,224,Controller
19,20,Astra,0.85, 10.6  /  12.5  /  4.3 ,46.2%,0.7%,168,0.2%,145,Controller
