,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.7  /  16.2  /  3.4 ,50.0%,16.3%,239,0.1%,"87,953"
1,2,Omen,0.99, 15.1  /  15.2  /  8.7 ,49.6%,13.8%,204,0.1%,"74,706"
2,3,Killjoy,1.07, 15.5  /  14.5  /  3.3 ,51.1%,11.6%,208,0.1%,"62,910"
3,4,Raze,1.06, 17  /  16.1  /  4.6 ,50.5%,10.4%,241,0.1%,"56,309"
4,5,Skye,0.97, 14.6  /  15  /  9 ,51.1%,8.1%,197,0.1%,"43,625"
5,6,Reyna,1.14, 17.9  /  15.7  /  4.3 ,51.0%,6.9%,242,0.1%,"37,262"
6,7,Breach,0.93, 14.3  /  15.3  /  8.2 ,48.6%,6.7%,194,0.1%,"36,452"
7,8,Chamber,1.11, 16.8  /  15.2  /  2.5 ,48.5%,6.3%,221,0.1%,"34,319"
8,9,Gekko,0.97, 14.6  /  15  /  4.9 ,50.8%,5.0%,194,0.1%,"27,206"
9,10,Astra,1.05, 15.5  /  14.7  /  7.4 ,51.3%,2.0%,206,0.1%,"10,868"
10,11,Harbor,0.96, 14.5  /  15.2  /  7.1 ,47.9%,1.6%,196,0.1%,"8,778"
11,12,Cypher,1.04, 15.4  /  14.9  /  4.6 ,50.0%,1.6%,204,0.1%,"8,738"
12,13,Brimstone,1, 14.8  /  14.9  /  10.3 ,54.2%,1.3%,207,0.1%,"7,090"
13,14,Neon,0.98, 16.4  /  16.7  /  4.3 ,47.9%,1.2%,226,0.1%,"6,754"
14,15,Viper,1.07, 15.9  /  14.9  /  6.2 ,50.9%,1.2%,216,0.1%,"6,591"
15,16,Fade,0.99, 15.1  /  15.1  /  7.1 ,48.9%,1.2%,204,0.1%,"6,452"
16,17,Sage,1, 15  /  15  /  7.1 ,51.9%,1.1%,204,0.1%,"6,162"
17,18,Phoenix,1.15, 17.6  /  15.4  /  4.8 ,53.4%,1.1%,243,0.1%,"5,763"
18,19,Yoru,1.02, 16.4  /  16.1  /  4.7 ,47.1%,0.9%,222,0.1%,"5,129"
19,20,Sova,1.03, 15.3  /  14.8  /  6.3 ,50.7%,0.9%,211,0.1%,"4,643"
20,21,KAY/O,0.94, 14.8  /  15.7  /  10.5 ,43.0%,0.5%,207,0.1%,"2,781"
