,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.17, 18  /  15.4  /  4.3 ,50.3%,11.1%,251,0.1%,"1,002,063",Duelist
1,2,Raze,1.07, 16.8  /  15.7  /  4.8 ,50.0%,10.1%,244,0.1%,"908,835",Duelist
2,3,Sage,0.91, 13.5  /  14.8  /  6.7 ,50.3%,9.4%,189,0.1%,"844,084",Sentinel
3,4,Jett,1.1, 17.3  /  15.7  /  3.7 ,49.2%,8.4%,241,0.1%,"759,625",Duelist
4,5,Brimstone,0.98, 14.4  /  14.7  /  7.5 ,50.6%,8.0%,205,0.1%,"719,887",Controller
5,6,Omen,0.98, 14.8  /  15.1  /  6.3 ,47.9%,6.8%,205,0.1%,"615,143",Controller
6,7,Skye,0.94, 14.1  /  14.9  /  7.2 ,49.2%,6.7%,197,0.1%,"607,324",Initiator
7,8,Killjoy,0.98, 13.9  /  14.2  /  3.8 ,50.0%,6.0%,196,0.1%,"540,628",Sentinel
8,9,Cypher,0.98, 14.2  /  14.4  /  4.7 ,48.8%,4.4%,194,0.1%,"394,898",Sentinel
9,10,Chamber,1.08, 15.9  /  14.7  /  3 ,48.5%,3.6%,215,0.1%,"323,334",Sentinel
10,11,Gekko,0.93, 14  /  15.1  /  4.6 ,49.4%,3.6%,193,0.1%,"319,670",Initiator
11,12,Sova,0.99, 14.5  /  14.7  /  5.4 ,49.4%,3.4%,204,0.1%,"305,487",Initiator
12,13,Phoenix,1.12, 17  /  15.2  /  4.4 ,50.3%,3.3%,240,0.1%,"296,033",Duelist
13,14,Fade,0.94, 14.1  /  15  /  6.1 ,48.9%,3.0%,197,0.1%,"272,876",Initiator
14,15,Viper,0.99, 14.5  /  14.6  /  5.4 ,49.4%,3.0%,204,0.1%,"270,063",Controller
15,16,KAY/O,0.9, 13.9  /  15.4  /  8.1 ,45.5%,2.2%,200,0.1%,"198,669",Initiator
16,17,Breach,0.92, 14.3  /  15.5  /  5.8 ,47.3%,1.9%,201,0.1%,"171,628",Initiator
17,18,Yoru,1.01, 15.7  /  15.5  /  4.3 ,46.8%,1.7%,220,0.1%,"149,338",Duelist
18,19,Neon,0.98, 15.9  /  16.1  /  4 ,46.5%,1.4%,224,0.1%,"125,108",Duelist
19,20,Astra,1.02, 14.9  /  14.5  /  5.8 ,48.8%,1.2%,205,0.1%,"108,536",Controller
20,21,Harbor,0.9, 13.7  /  15.2  /  5.5 ,45.7%,0.8%,191,0.1%,"71,070",Controller
