,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.5  /  16.1  /  3.5 ,49.4%,14.5%,238,0.2%,"94,807",Duelist
1,2,Omen,0.99, 14.9  /  15.2  /  8.4 ,49.3%,12.3%,203,0.1%,"80,447",Controller
2,3,Raze,1.06, 17  /  16  /  4.7 ,50.4%,10.6%,241,0.2%,"68,883",Duelist
3,4,Reyna,1.12, 17.7  /  15.7  /  4.3 ,49.7%,8.4%,239,0.2%,"54,605",Duelist
4,5,Killjoy,1.05, 15.1  /  14.4  /  3.4 ,50.6%,7.9%,205,0.1%,"51,755",Sentinel
5,6,Skye,0.96, 14.4  /  15  /  8.6 ,50.6%,7.7%,196,0.1%,"50,207",Initiator
6,7,Chamber,1.11, 16.8  /  15.1  /  2.6 ,48.3%,7.0%,222,0.2%,"45,404",Sentinel
7,8,Breach,0.93, 14.3  /  15.4  /  7.9 ,48.4%,6.0%,195,0.1%,"39,010",Initiator
8,9,Gekko,0.96, 14.4  /  15.1  /  4.9 ,49.4%,4.4%,192,0.1%,"28,918",Initiator
9,10,Deadlock,1.03, 15.5  /  15.1  /  3.7 ,49.5%,3.7%,224,0.1%,"24,340",Sentinel
10,11,Astra,1.03, 15.2  /  14.7  /  7.2 ,49.4%,2.5%,204,0.1%,"16,514",Controller
11,12,Brimstone,0.99, 14.6  /  14.8  /  9.8 ,51.9%,2.2%,206,0.1%,"14,068",Controller
12,13,Cypher,1.03, 15.1  /  14.8  /  4.6 ,49.0%,2.0%,202,0.1%,"12,734",Sentinel
13,14,Sage,0.96, 14.5  /  15  /  7 ,51.5%,1.8%,198,0.1%,"11,737",Sentinel
14,15,Phoenix,1.1, 17.1  /  15.5  /  4.7 ,51.6%,1.6%,236,0.2%,"10,190",Duelist
15,16,Fade,0.97, 14.7  /  15.1  /  6.8 ,47.9%,1.6%,200,0.1%,"10,158",Initiator
16,17,Harbor,0.95, 14.4  /  15.2  /  6.7 ,47.0%,1.5%,196,0.1%,"9,612",Controller
17,18,Neon,0.99, 16.4  /  16.6  /  4.3 ,47.8%,1.0%,228,0.2%,"6,603",Duelist
18,19,Viper,1.06, 15.5  /  14.7  /  5.9 ,50.2%,1.0%,213,0.1%,"6,510",Controller
19,20,Yoru,1.03, 16.4  /  15.9  /  4.4 ,47.6%,1.0%,223,0.2%,"6,487",Duelist
20,21,Sova,1.01, 15  /  14.8  /  6 ,49.1%,0.8%,208,0.1%,"5,172",Initiator
21,22,KAY/O,0.94, 14.6  /  15.6  /  9.9 ,45.6%,0.7%,206,0.1%,"4,701",Initiator
