,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.89, 13  /  14.6  /  6.8 ,50.3%,13.3%,186,0.1%,"47,604",Sentinel
1,2,Reyna,1.18, 17.9  /  15.2  /  4.4 ,51.1%,12.4%,253,0.1%,"44,347",Duelist
2,3,Jett,1.12, 17.3  /  15.5  /  4 ,50.6%,8.9%,246,0.1%,"32,015",Duelist
3,4,Viper,0.98, 14.3  /  14.5  /  5.4 ,50.7%,8.0%,203,0.2%,"28,525",Controller
4,5,Sova,0.97, 14.1  /  14.6  /  5.2 ,49.0%,7.0%,201,0.1%,"24,900",Initiator
5,6,Killjoy,0.98, 13.7  /  14.1  /  4 ,51.1%,6.6%,199,0.2%,"23,688",Sentinel
6,7,Raze,1.02, 15.9  /  15.6  /  4.6 ,48.3%,6.4%,233,0.1%,"23,002",Duelist
7,8,Omen,0.99, 15  /  15.2  /  5.2 ,48.8%,6.0%,212,0.1%,"21,639",Controller
8,9,KAY/O,0.9, 13.7  /  15.3  /  8.3 ,46.3%,3.9%,201,0.1%,"14,136",Initiator
9,10,Fade,0.92, 13.8  /  15  /  6.2 ,48.8%,3.7%,198,0.1%,"13,189",Initiator
10,11,Skye,0.92, 13.7  /  14.9  /  7.2 ,49.5%,3.5%,196,0.1%,"12,594",Initiator
11,12,Brimstone,0.95, 14.1  /  14.9  /  6.5 ,47.5%,3.4%,204,0.1%,"12,015",Controller
12,13,Phoenix,1.07, 16.2  /  15.1  /  4.3 ,49.4%,3.3%,231,0.1%,"11,916",Duelist
13,14,Neon,1.0, 15.9  /  15.9  /  4.2 ,48.6%,2.9%,229,0.1%,"10,259",Duelist
14,15,Chamber,1.08, 15.6  /  14.5  /  3.2 ,48.8%,2.8%,218,0.1%,"10,183",Sentinel
15,16,Yoru,0.98, 15  /  15.4  /  4.1 ,45.8%,2.3%,213,0.1%,"8,226",Duelist
16,17,Cypher,0.96, 13.9  /  14.5  /  4.6 ,48.1%,2.0%,195,0.2%,"6,987",Sentinel
17,18,Breach,0.9, 13.9  /  15.5  /  5.8 ,47.4%,1.5%,199,0.1%,"5,495",Initiator
18,19,Harbor,0.91, 13.6  /  15  /  5.6 ,49.2%,1.4%,192,0.1%,"5,010",Controller
19,20,Astra,1.01, 14.7  /  14.6  /  4.8 ,49.8%,0.7%,205,0.1%,"2,410",Controller
