,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.4  /  15.8  /  3.7 ,49.4%,12.4%,241,0.2%,"373,286"
1,2,Reyna,1.14, 17.8  /  15.6  /  4.4 ,49.8%,11.7%,247,0.2%,"353,120"
2,3,Omen,0.98, 14.8  /  15.1  /  7.3 ,49.0%,11.4%,205,0.1%,"344,373"
3,4,Sage,0.92, 13.6  /  14.9  /  6.9 ,50.2%,7.4%,190,0.1%,"221,805"
4,5,Sova,1, 14.6  /  14.6  /  5.5 ,49.6%,6.0%,204,0.1%,"180,195"
5,6,Skye,0.94, 14.2  /  15.1  /  7.5 ,49.3%,5.6%,198,0.1%,"170,149"
6,7,Killjoy,0.99, 14.3  /  14.4  /  3.6 ,50.1%,5.6%,199,0.1%,"167,447"
7,8,Raze,1.05, 16.5  /  15.8  /  4.7 ,49.1%,5.2%,238,0.2%,"157,048"
8,9,Brimstone,0.96, 14.3  /  14.8  /  8.7 ,50.9%,5.1%,204,0.1%,"152,936"
9,10,Deadlock,0.98, 14.9  /  15.1  /  3.8 ,49.0%,4.5%,212,0.1%,"136,440"
10,11,Chamber,1.08, 16.1  /  14.9  /  2.9 ,48.7%,3.9%,217,0.2%,"117,129"
11,12,Phoenix,1.12, 17.2  /  15.4  /  4.6 ,50.7%,3.7%,241,0.2%,"110,550"
12,13,Cypher,1.01, 14.7  /  14.6  /  4.7 ,49.2%,3.1%,200,0.1%,"92,635"
13,14,Breach,0.94, 14.5  /  15.4  /  6.7 ,48.7%,2.9%,201,0.1%,"87,462"
14,15,Gekko,0.93, 14.1  /  15.1  /  4.9 ,49.3%,2.3%,193,0.1%,"68,078"
15,16,Fade,0.94, 14.3  /  15.1  /  6.5 ,48.8%,2.0%,199,0.1%,"58,918"
16,17,KAY/O,0.91, 14.2  /  15.5  /  8.8 ,45.9%,1.9%,203,0.1%,"57,683"
17,18,Astra,1.02, 15  /  14.7  /  6.4 ,48.5%,1.6%,205,0.1%,"49,172"
18,19,Yoru,1.01, 15.8  /  15.6  /  4.3 ,47.3%,1.3%,218,0.2%,"39,738"
19,20,Neon,0.99, 16.1  /  16.3  /  4.1 ,47.5%,1.2%,226,0.2%,"37,212"
20,21,Viper,0.98, 14.4  /  14.7  /  5.6 ,48.6%,1.0%,202,0.1%,"28,812"
21,22,Harbor,0.91, 14  /  15.3  /  6 ,44.0%,0.3%,194,0.1%,"9,271"
