,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.05, 17.1  /  16.3  /  4.7 ,49.7%,14.2%,243,0.1%,"99,000",Duelist
1,2,Jett,1.09, 17.6  /  16.1  /  3.4 ,49.2%,13.2%,237,0.1%,"91,935",Duelist
2,3,Skye,0.96, 14.5  /  15.1  /  7.8 ,49.4%,13.0%,196,0.1%,"90,320",Initiator
3,4,Brimstone,1.0, 14.9  /  15  /  9 ,50.5%,13.0%,206,0.1%,"90,147",Controller
4,5,Cypher,1.0, 14.8  /  14.7  /  4.5 ,48.7%,7.5%,196,0.1%,"51,966",Sentinel
5,6,Reyna,1.14, 17.9  /  15.7  /  4.1 ,50.5%,6.5%,241,0.1%,"45,229",Duelist
6,7,Chamber,1.08, 16.3  /  15  /  2.5 ,47.8%,4.6%,214,0.1%,"31,714",Sentinel
7,8,Sova,1.02, 15.1  /  14.7  /  5.9 ,49.3%,4.4%,206,0.1%,"30,291",Initiator
8,9,Sage,0.97, 14.4  /  14.9  /  6.9 ,52.3%,4.3%,195,0.1%,"29,619",Sentinel
9,10,Killjoy,1.03, 14.8  /  14.4  /  3.3 ,49.6%,4.1%,200,0.1%,"28,191",Sentinel
10,11,Omen,0.98, 15  /  15.3  /  7.9 ,46.0%,3.7%,204,0.1%,"25,602",Controller
11,12,Fade,0.99, 14.9  /  15.1  /  6.8 ,48.3%,2.3%,202,0.1%,"16,307",Initiator
12,13,Viper,1.06, 15.8  /  14.9  /  5.7 ,49.3%,1.9%,215,0.1%,"13,307",Controller
13,14,Phoenix,1.1, 17.3  /  15.7  /  4.5 ,51.1%,1.6%,236,0.1%,"11,463",Duelist
14,15,Astra,1.04, 15.3  /  14.8  /  7.1 ,48.6%,1.4%,206,0.1%,"9,621",Controller
15,16,Yoru,1.07, 17  /  15.9  /  4.6 ,50.1%,1.3%,231,0.1%,"9,165",Duelist
16,17,Gekko,0.97, 14.5  /  15  /  4.7 ,50.2%,1.2%,195,0.1%,"8,087",Initiator
17,18,KAY/O,0.93, 14.6  /  15.7  /  9.5 ,42.9%,0.6%,205,0.1%,"4,476",Initiator
18,19,Harbor,0.93, 14.2  /  15.3  /  6.2 ,45.0%,0.5%,192,0.1%,"3,628",Controller
19,20,Breach,0.92, 14.4  /  15.6  /  7.6 ,45.5%,0.5%,197,0.1%,"3,593",Initiator
20,21,Neon,0.98, 16.3  /  16.6  /  4 ,49.5%,0.3%,220,0.1%,"2,175",Duelist
