,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.81, 11.7  /  14.4  /  6.8 ,50.4%,14.0%,171,0.1%,"17,876",Sentinel
1,2,Reyna,1.02, 15.4  /  15.1  /  4.7 ,49.1%,10.9%,224,0.1%,"13,946",Duelist
2,3,Raze,0.94, 14.2  /  15.1  /  5.1 ,49.4%,7.7%,216,0.1%,"9,848",Duelist
3,4,Omen,0.9, 13.4  /  14.9  /  5.1 ,48.5%,6.3%,194,0.1%,"8,068",Controller
4,5,Killjoy,0.9, 12.7  /  14.1  /  4.2 ,50.5%,5.9%,186,0.2%,"7,509",Sentinel
5,6,Jett,0.94, 14.4  /  15.3  /  4.1 ,48.2%,5.9%,210,0.1%,"7,507",Duelist
6,7,Fade,0.81, 12  /  14.8  /  5.8 ,48.9%,4.9%,177,0.1%,"6,224",Initiator
7,8,Viper,0.86, 12.6  /  14.5  /  5 ,48.5%,4.4%,184,0.2%,"5,558",Controller
8,9,Phoenix,0.95, 14.2  /  15  /  4.5 ,47.9%,4.3%,209,0.1%,"5,461",Duelist
9,10,Brimstone,0.9, 13  /  14.6  /  6.5 ,49.8%,4.1%,194,0.1%,"5,270",Controller
10,11,Skye,0.81, 12  /  14.7  /  7.2 ,48.1%,4.1%,178,0.1%,"5,243",Initiator
11,12,Yoru,0.88, 13.4  /  15.2  /  4.2 ,44.1%,4.1%,194,0.1%,"5,200",Duelist
12,13,Sova,0.85, 12.4  /  14.7  /  5.1 ,46.7%,3.9%,184,0.1%,"5,000",Initiator
13,14,Neon,0.88, 13.7  /  15.6  /  4.1 ,45.5%,3.8%,201,0.1%,"4,839",Duelist
14,15,Gekko,0.87, 12.8  /  14.7  /  4.8 ,50.5%,3.6%,186,0.1%,"4,573",Initiator
15,16,KAY/O,0.81, 12.3  /  15.1  /  7.9 ,48.1%,3.4%,185,0.1%,"4,316",Initiator
16,17,Cypher,0.92, 13  /  14.1  /  5.1 ,49.9%,3.2%,186,0.2%,"4,042",Sentinel
17,18,Chamber,0.92, 13.6  /  14.7  /  3.7 ,47.5%,1.8%,195,0.1%,"2,295",Sentinel
18,19,Breach,0.89, 13.4  /  15.1  /  5.6 ,47.4%,1.6%,194,0.1%,"2,053",Initiator
19,20,Harbor,0.83, 12.4  /  14.9  /  5.2 ,46.7%,1.3%,180,0.1%,"1,635",Controller
20,21,Astra,0.94, 13.3  /  14.1  /  4.9 ,51.4%,0.8%,194,0.1%,"1,055",Controller
