,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.2, 18  /  15  /  4.6 ,50.9%,12.1%,256,0.1%,"1,095,578",Duelist
1,2,Sage,0.9, 13  /  14.5  /  6.9 ,49.8%,10.2%,187,0.1%,"929,840",Sentinel
2,3,Jett,1.13, 17.3  /  15.3  /  4 ,50.2%,8.1%,245,0.1%,"732,926",Duelist
3,4,Brimstone,0.99, 14.3  /  14.5  /  7.7 ,51.0%,7.8%,207,0.1%,"704,724",Controller
4,5,Killjoy,0.99, 13.9  /  14.1  /  4.1 ,50.6%,6.9%,200,0.1%,"622,784",Sentinel
5,6,Raze,1.05, 16.1  /  15.3  /  4.9 ,49.5%,6.5%,237,0.1%,"589,059",Duelist
6,7,Omen,0.97, 14.4  /  14.9  /  5.9 ,47.6%,5.9%,204,0.1%,"534,393",Controller
7,8,Breach,0.94, 14.2  /  15.1  /  6.1 ,49.5%,5.2%,203,0.1%,"476,036",Initiator
8,9,Skye,0.92, 13.5  /  14.8  /  7.3 ,48.9%,4.6%,194,0.1%,"414,938",Initiator
9,10,Gekko,0.93, 13.7  /  14.8  /  4.8 ,49.5%,4.1%,194,0.1%,"376,748",Initiator
10,11,Viper,0.97, 14  /  14.5  /  5.4 ,49.3%,3.6%,201,0.1%,"325,632",Controller
11,12,Phoenix,1.11, 16.6  /  14.9  /  4.6 ,50.1%,3.5%,237,0.1%,"321,098",Duelist
12,13,Cypher,0.99, 14.2  /  14.3  /  4.9 ,48.9%,3.4%,199,0.1%,"309,036",Sentinel
13,14,Neon,1.02, 16.1  /  15.8  /  4.3 ,48.8%,3.2%,232,0.1%,"288,539",Duelist
14,15,Fade,0.92, 13.7  /  14.8  /  6.2 ,49.1%,3.0%,196,0.1%,"271,236",Initiator
15,16,Chamber,1.08, 15.8  /  14.6  /  3.3 ,48.8%,2.9%,219,0.1%,"264,288",Sentinel
16,17,KAY/O,0.9, 13.7  /  15.2  /  8.2 ,46.5%,2.6%,201,0.1%,"237,920",Initiator
17,18,Sova,0.95, 13.9  /  14.7  /  5.3 ,48.1%,2.5%,201,0.1%,"229,282",Initiator
18,19,Yoru,0.99, 15.1  /  15.2  /  4.5 ,46.4%,1.9%,215,0.1%,"171,912",Duelist
19,20,Harbor,0.9, 13.5  /  15  /  5.7 ,46.2%,1.1%,192,0.1%,"99,584",Controller
20,21,Astra,1.02, 14.7  /  14.4  /  5.6 ,48.3%,0.9%,207,0.1%,"83,864",Controller
