,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.8, 11.5  /  14.5  /  6.2 ,49.6%,14.2%,169,0.1%,"18,072",Sentinel
1,2,Reyna,1.02, 15.2  /  14.9  /  4.4 ,49.0%,10.7%,223,0.1%,"13,679",Duelist
2,3,Raze,0.91, 13.8  /  15.1  /  4.6 ,49.2%,6.6%,207,0.1%,"8,448",Duelist
3,4,Jett,0.98, 14.8  /  15.1  /  4 ,49.3%,6.5%,216,0.1%,"8,335",Duelist
4,5,Viper,0.87, 12.5  /  14.5  /  5 ,49.0%,6.4%,184,0.1%,"8,146",Controller
5,6,Omen,0.91, 13.6  /  14.9  /  4.7 ,48.4%,5.9%,196,0.1%,"7,562",Controller
6,7,Sova,0.85, 12.3  /  14.5  /  4.9 ,49.7%,5.8%,182,0.1%,"7,361",Initiator
7,8,Killjoy,0.88, 12.3  /  13.9  /  4.1 ,52.1%,5.5%,184,0.2%,"7,072",Sentinel
8,9,Fade,0.8, 12  /  14.9  /  6 ,48.2%,4.5%,177,0.1%,"5,793",Initiator
9,10,Yoru,0.87, 13.2  /  15.1  /  4 ,45.5%,4.4%,192,0.1%,"5,640",Duelist
10,11,Phoenix,0.93, 13.8  /  14.8  /  4.2 ,48.3%,4.1%,204,0.1%,"5,178",Duelist
11,12,Neon,0.89, 13.9  /  15.6  /  4.1 ,47.1%,4.0%,204,0.1%,"5,046",Duelist
12,13,Gekko,0.88, 12.8  /  14.6  /  4.6 ,50.0%,3.6%,186,0.1%,"4,642",Initiator
13,14,KAY/O,0.81, 12.2  /  15.1  /  7.7 ,46.2%,3.6%,184,0.1%,"4,548",Initiator
14,15,Skye,0.79, 11.7  /  14.7  /  6.8 ,49.5%,3.4%,174,0.1%,"4,382",Initiator
15,16,Brimstone,0.88, 12.8  /  14.7  /  5.8 ,48.3%,3.2%,189,0.1%,"4,036",Controller
16,17,Cypher,0.89, 12.6  /  14.1  /  4.8 ,50.6%,2.4%,181,0.2%,"3,031",Sentinel
17,18,Chamber,0.97, 13.7  /  14.2  /  3.4 ,48.0%,2.3%,198,0.1%,"2,878",Sentinel
18,19,Breach,0.86, 12.7  /  14.8  /  5.3 ,46.8%,1.2%,189,0.1%,"1,492",Initiator
19,20,Harbor,0.83, 12.3  /  14.7  /  4.8 ,45.9%,1.2%,180,0.1%,"1,484",Controller
20,21,Astra,0.93, 13  /  14  /  4.7 ,48.3%,0.5%,189,0.2%,642,Controller
