,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.3  /  16  /  3.6 ,49.1%,14.0%,238,0.2%,"303,598"
1,2,Omen,0.98, 14.8  /  15.1  /  7.8 ,48.7%,12.2%,203,0.1%,"265,124"
2,3,Reyna,1.12, 17.7  /  15.7  /  4.4 ,50.0%,10.9%,243,0.2%,"237,063"
3,4,Sova,1, 14.7  /  14.7  /  5.7 ,49.8%,7.2%,204,0.1%,"155,772"
4,5,Sage,0.93, 13.9  /  15  /  7 ,50.1%,6.1%,192,0.1%,"132,930"
5,6,Skye,0.94, 14.3  /  15.2  /  7.6 ,49.2%,5.9%,198,0.1%,"128,542"
6,7,Killjoy,1.01, 14.6  /  14.5  /  3.5 ,50.3%,5.9%,200,0.1%,"127,214"
7,8,Raze,1.04, 16.5  /  15.9  /  4.7 ,49.3%,4.8%,237,0.2%,"104,055"
8,9,Brimstone,0.96, 14.4  /  14.9  /  9.1 ,51.3%,4.7%,203,0.1%,"100,960"
9,10,Chamber,1.08, 16.2  /  15  /  2.8 ,48.0%,4.2%,217,0.2%,"92,089"
10,11,Deadlock,0.99, 15  /  15.1  /  3.8 ,48.9%,4.2%,216,0.1%,"91,582"
11,12,Phoenix,1.11, 17.3  /  15.6  /  4.6 ,50.9%,3.7%,240,0.2%,"79,543"
12,13,Cypher,1.01, 14.8  /  14.7  /  4.7 ,49.5%,3.3%,201,0.1%,"72,392"
13,14,Breach,0.94, 14.4  /  15.4  /  7.1 ,49.0%,2.9%,200,0.1%,"62,430"
14,15,Astra,1.02, 15.1  /  14.7  /  6.7 ,48.6%,1.8%,205,0.1%,"39,355"
15,16,Fade,0.95, 14.4  /  15.1  /  6.6 ,49.3%,1.8%,199,0.1%,"39,225"
16,17,Gekko,0.94, 14.2  /  15.2  /  5 ,49.5%,1.7%,193,0.1%,"36,674"
17,18,KAY/O,0.91, 14.3  /  15.6  /  9.1 ,44.8%,1.7%,203,0.1%,"36,470"
18,19,Yoru,1.01, 15.9  /  15.8  /  4.4 ,46.5%,1.2%,218,0.2%,"24,935"
19,20,Neon,0.97, 16  /  16.5  /  4.1 ,47.1%,0.9%,223,0.2%,"19,778"
20,21,Viper,0.99, 14.7  /  14.8  /  5.7 ,47.8%,0.6%,204,0.1%,"12,632"
21,22,Harbor,0.9, 13.9  /  15.4  /  6.2 ,44.6%,0.2%,192,0.1%,"4,679"
