,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.1, 17.4  /  15.9  /  3.6 ,49.2%,13.7%,239,0.1%,"10,723",Duelist
1,2,Breach,0.93, 14.3  /  15.3  /  7.4 ,48.5%,12.9%,197,0.1%,"10,055",Initiator
2,3,Brimstone,1.01, 14.9  /  14.8  /  9.1 ,50.2%,12.8%,208,0.1%,"9,986",Controller
3,4,Reyna,1.16, 18  /  15.5  /  4.5 ,52.4%,8.7%,247,0.1%,"6,813",Duelist
4,5,Killjoy,1.04, 14.9  /  14.3  /  3.8 ,50.0%,8.6%,206,0.2%,"6,736",Sentinel
5,6,Raze,1.06, 16.8  /  15.9  /  4.6 ,48.6%,8.3%,238,0.1%,"6,521",Duelist
6,7,Cypher,1.03, 15.1  /  14.6  /  4.8 ,50.5%,6.0%,204,0.2%,"4,654",Sentinel
7,8,Sage,0.97, 14.3  /  14.8  /  6.9 ,50.7%,4.5%,197,0.1%,"3,509",Sentinel
8,9,Fade,0.99, 14.8  /  15  /  6.2 ,50.4%,3.9%,201,0.1%,"3,085",Initiator
9,10,Viper,1.0, 14.7  /  14.6  /  5.8 ,47.3%,3.8%,205,0.2%,"2,939",Controller
10,11,KAY/O,0.91, 14.5  /  15.8  /  9.4 ,46.2%,3.0%,204,0.1%,"2,368",Initiator
11,12,Neon,1.01, 16.6  /  16.4  /  4.2 ,49.3%,2.8%,232,0.1%,"2,179",Duelist
12,13,Chamber,1.08, 16.4  /  15.1  /  2.8 ,45.3%,2.7%,219,0.1%,"2,094",Sentinel
13,14,Skye,0.98, 14.6  /  15  /  7.2 ,50.0%,2.0%,202,0.1%,"1,591",Initiator
14,15,Phoenix,1.13, 17.3  /  15.4  /  4.5 ,51.0%,1.8%,238,0.1%,"1,416",Duelist
15,16,Omen,0.96, 14.9  /  15.6  /  7.2 ,42.3%,1.4%,204,0.1%,"1,067",Controller
16,17,Astra,1.06, 15.3  /  14.4  /  6.7 ,49.9%,1.0%,212,0.2%,798,Controller
17,18,Yoru,1.07, 16.9  /  15.8  /  4.7 ,49.7%,0.9%,228,0.1%,704,Duelist
18,19,Harbor,0.98, 14.5  /  14.8  /  6 ,47.5%,0.7%,200,0.2%,512,Controller
19,20,Sova,0.97, 14.3  /  14.8  /  5.4 ,45.5%,0.6%,203,0.1%,448,Initiator
