,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.15, 17.8  /  15.4  /  4.3 ,49.9%,11.0%,246,0.2%,"364,451"
1,2,Raze,1.06, 16.7  /  15.8  /  4.8 ,50.0%,10.1%,242,0.2%,"333,210"
2,3,Brimstone,0.97, 14.3  /  14.7  /  7.8 ,50.5%,8.9%,202,0.1%,"292,718"
3,4,Jett,1.09, 17.1  /  15.7  /  3.6 ,48.7%,8.4%,237,0.2%,"277,559"
4,5,Skye,0.94, 14  /  14.9  /  7.3 ,49.2%,8.1%,195,0.1%,"268,784"
5,6,Sage,0.9, 13.4  /  14.8  /  6.7 ,50.3%,7.2%,186,0.1%,"238,080"
6,7,Omen,0.97, 14.7  /  15.1  /  6.5 ,47.8%,6.6%,204,0.1%,"219,483"
7,8,Deadlock,0.97, 14.6  /  15  /  3.9 ,49.0%,5.1%,209,0.1%,"167,012"
8,9,Cypher,0.98, 14.1  /  14.4  /  4.6 ,49.0%,4.4%,192,0.1%,"146,641"
9,10,Killjoy,0.97, 13.8  /  14.3  /  3.6 ,49.6%,4.4%,193,0.1%,"145,660"
10,11,Chamber,1.08, 15.8  /  14.7  /  2.8 ,48.7%,4.0%,214,0.2%,"131,691"
11,12,Phoenix,1.1, 16.9  /  15.3  /  4.3 ,49.9%,3.1%,237,0.2%,"102,343"
12,13,Sova,0.98, 14.4  /  14.7  /  5.4 ,49.2%,2.8%,202,0.1%,"94,111"
13,14,Gekko,0.92, 13.9  /  15  /  4.6 ,49.0%,2.6%,191,0.1%,"85,333"
14,15,Viper,0.99, 14.6  /  14.7  /  5.4 ,49.2%,2.5%,203,0.1%,"81,245"
15,16,Fade,0.94, 14  /  15  /  6.1 ,48.7%,2.4%,196,0.1%,"80,573"
16,17,Breach,0.92, 14.3  /  15.4  /  6 ,47.4%,2.0%,199,0.1%,"64,617"
17,18,KAY/O,0.9, 13.9  /  15.5  /  8.1 ,43.8%,1.7%,199,0.1%,"57,168"
18,19,Yoru,1.01, 15.8  /  15.6  /  4.1 ,46.6%,1.6%,219,0.2%,"54,299"
19,20,Astra,1.01, 14.8  /  14.6  /  5.9 ,48.2%,1.3%,203,0.1%,"44,011"
20,21,Neon,0.98, 15.9  /  16.1  /  3.9 ,46.9%,1.2%,223,0.2%,"38,131"
21,22,Harbor,0.89, 13.6  /  15.2  /  5.6 ,44.3%,0.5%,189,0.1%,"17,863"
