,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.16, 18  /  15.5  /  4.4 ,50.3%,11.0%,249,0.1%,"23,399",Duelist
1,2,Jett,1.1, 17.5  /  15.9  /  3.7 ,48.8%,10.6%,242,0.1%,"22,510",Duelist
2,3,Raze,1.07, 16.9  /  15.7  /  4.9 ,51.5%,8.3%,245,0.1%,"17,519",Duelist
3,4,Omen,0.99, 15  /  15.1  /  6.7 ,48.7%,8.0%,206,0.1%,"17,004",Controller
4,5,Killjoy,1.01, 14.5  /  14.2  /  3.7 ,49.5%,7.4%,202,0.2%,"15,776",Sentinel
5,6,Sage,0.93, 13.8  /  14.8  /  7 ,51.1%,6.9%,193,0.1%,"14,722",Sentinel
6,7,Breach,0.94, 14.4  /  15.3  /  7 ,49.3%,6.0%,200,0.1%,"12,650",Initiator
7,8,Skye,0.95, 14.2  /  15  /  7.7 ,48.7%,5.6%,199,0.1%,"11,819",Initiator
8,9,Fade,0.96, 14.4  /  14.9  /  6.3 ,50.6%,4.4%,201,0.1%,"9,341",Initiator
9,10,Chamber,1.12, 16.7  /  14.8  /  2.9 ,50.2%,4.2%,225,0.1%,"8,959",Sentinel
10,11,Brimstone,0.98, 14.6  /  14.9  /  8.2 ,51.7%,4.1%,206,0.2%,"8,766",Controller
11,12,Cypher,1.02, 14.9  /  14.5  /  4.6 ,49.3%,3.5%,202,0.2%,"7,341",Sentinel
12,13,KAY/O,0.91, 14.2  /  15.6  /  9.1 ,45.7%,3.4%,203,0.1%,"7,277",Initiator
13,14,Phoenix,1.12, 17.3  /  15.5  /  4.6 ,49.6%,3.4%,242,0.1%,"7,187",Duelist
14,15,Harbor,0.92, 13.9  /  15.1  /  5.8 ,47.4%,2.9%,193,0.1%,"6,071",Controller
15,16,Sova,1.0, 14.6  /  14.7  /  5.4 ,50.0%,2.5%,206,0.2%,"5,275",Initiator
16,17,Astra,1.03, 15.1  /  14.6  /  6 ,49.0%,2.4%,206,0.2%,"5,113",Controller
17,18,Viper,1.01, 14.8  /  14.7  /  5.4 ,50.7%,2.2%,207,0.2%,"4,673",Controller
18,19,Neon,0.99, 16.3  /  16.4  /  4.2 ,46.4%,1.9%,230,0.1%,"4,065",Duelist
19,20,Yoru,1.0, 15.9  /  15.8  /  4.4 ,44.1%,1.2%,219,0.1%,"2,554",Duelist
