,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.8, 11.4  /  14.3  /  6.6 ,49.4%,14.1%,168,0.1%,"25,928",Sentinel
1,2,Reyna,1.04, 15.3  /  14.8  /  4.7 ,48.9%,11.1%,225,0.1%,"20,526",Duelist
2,3,Raze,0.92, 13.8  /  14.9  /  4.9 ,49.4%,6.8%,209,0.1%,"12,460",Duelist
3,4,Jett,0.95, 14.2  /  15  /  4 ,46.9%,6.3%,208,0.1%,"11,557",Duelist
4,5,Omen,0.86, 12.7  /  14.7  /  5 ,46.6%,5.9%,186,0.1%,"10,856",Controller
5,6,Fade,0.82, 12.1  /  14.7  /  6.2 ,47.8%,5.9%,180,0.1%,"10,820",Initiator
6,7,Killjoy,0.89, 12.3  /  13.8  /  4.3 ,51.3%,5.7%,184,0.2%,"10,459",Sentinel
7,8,Viper,0.87, 12.4  /  14.2  /  5.3 ,50.1%,4.7%,184,0.1%,"8,743",Controller
8,9,Phoenix,0.96, 14.1  /  14.8  /  4.5 ,48.4%,4.7%,207,0.1%,"8,599",Duelist
9,10,Sova,0.85, 12.2  /  14.4  /  5.1 ,48.2%,4.5%,182,0.1%,"8,288",Initiator
10,11,Yoru,0.89, 13.2  /  14.9  /  4.2 ,45.8%,4.5%,193,0.1%,"8,258",Duelist
11,12,Neon,0.89, 13.7  /  15.4  /  4.2 ,48.8%,4.2%,202,0.1%,"7,680",Duelist
12,13,Skye,0.82, 11.9  /  14.5  /  7.3 ,49.8%,4.1%,177,0.1%,"7,536",Initiator
13,14,KAY/O,0.8, 11.9  /  14.9  /  7.7 ,46.4%,3.8%,180,0.1%,"6,969",Initiator
14,15,Brimstone,0.87, 12.6  /  14.4  /  6.5 ,50.1%,3.7%,188,0.1%,"6,795",Controller
15,16,Cypher,0.88, 12.3  /  14  /  4.9 ,48.5%,3.2%,178,0.2%,"5,985",Sentinel
16,17,Chamber,0.95, 13.7  /  14.4  /  3.6 ,48.1%,2.8%,194,0.1%,"5,080",Sentinel
17,18,Harbor,0.81, 12.1  /  14.9  /  5.5 ,46.2%,1.7%,176,0.1%,"3,105",Controller
18,19,Breach,0.87, 12.9  /  14.9  /  5.6 ,51.2%,1.5%,189,0.1%,"2,739",Initiator
19,20,Astra,0.93, 13  /  13.9  /  4.9 ,46.2%,1.0%,188,0.1%,"1,829",Controller
