,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 17.9  /  15.4  /  4.2 ,50.0%,10.9%,247,0.2%,"328,017"
1,2,Raze,1.07, 16.9  /  15.8  /  4.8 ,49.8%,10.6%,243,0.2%,"320,833"
2,3,Brimstone,0.98, 14.4  /  14.7  /  7.9 ,50.6%,9.1%,204,0.1%,"273,707"
3,4,Jett,1.1, 17.3  /  15.7  /  3.6 ,48.9%,8.8%,238,0.2%,"266,076"
4,5,Skye,0.95, 14.1  /  15  /  7.3 ,49.6%,8.4%,196,0.1%,"254,687"
5,6,Sage,0.92, 13.6  /  14.8  /  6.7 ,50.5%,6.8%,188,0.1%,"204,881"
6,7,Omen,0.97, 14.8  /  15.1  /  6.7 ,47.6%,6.4%,204,0.1%,"193,837"
7,8,Deadlock,0.98, 14.8  /  15  /  3.8 ,48.9%,5.0%,207,0.1%,"150,728"
8,9,Cypher,0.98, 14.2  /  14.4  /  4.6 ,49.1%,4.5%,193,0.1%,"136,309"
9,10,Killjoy,0.97, 13.9  /  14.3  /  3.6 ,49.5%,4.3%,194,0.1%,"128,692"
10,11,Chamber,1.09, 16  /  14.7  /  2.8 ,49.0%,4.2%,216,0.2%,"126,118"
11,12,Phoenix,1.11, 17  /  15.3  /  4.3 ,50.5%,3.0%,238,0.2%,"92,061"
12,13,Sova,1, 14.6  /  14.6  /  5.5 ,49.6%,2.9%,204,0.1%,"87,163"
13,14,Gekko,0.93, 14  /  15  /  4.6 ,49.3%,2.4%,192,0.1%,"73,717"
14,15,Fade,0.95, 14.2  /  15  /  6.1 ,49.1%,2.4%,197,0.1%,"72,295"
15,16,Viper,1, 14.7  /  14.7  /  5.4 ,49.6%,2.4%,204,0.1%,"71,065"
16,17,Breach,0.94, 14.4  /  15.4  /  6 ,47.6%,1.9%,201,0.1%,"57,757"
17,18,KAY/O,0.91, 14.1  /  15.5  /  8.2 ,44.5%,1.6%,201,0.1%,"49,631"
18,19,Yoru,1.03, 16.1  /  15.7  /  4.1 ,47.4%,1.6%,222,0.2%,"47,470"
19,20,Astra,1.02, 14.9  /  14.6  /  6 ,47.8%,1.3%,204,0.1%,"40,515"
20,21,Neon,0.99, 15.9  /  16.1  /  3.9 ,47.1%,1.0%,223,0.2%,"30,543"
21,22,Harbor,0.91, 13.8  /  15.2  /  5.6 ,44.9%,0.5%,190,0.1%,"14,977"
