,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.77, 11  /  14.3  /  5.8 ,49.7%,13.2%,162,0.1%,"240,145",Sentinel
1,2,Reyna,0.99, 14.6  /  14.7  /  4.3 ,49.3%,11.1%,214,0.1%,"202,007",Duelist
2,3,Raze,0.9, 13.4  /  14.8  /  4.5 ,49.3%,8.0%,204,0.1%,"144,830",Duelist
3,4,Omen,0.86, 12.6  /  14.6  /  4.7 ,48.8%,6.5%,183,0.1%,"117,543",Controller
4,5,Jett,0.91, 13.4  /  14.8  /  3.7 ,48.5%,6.4%,198,0.1%,"116,956",Duelist
5,6,Gekko,0.78, 11.5  /  14.8  /  4.3 ,49.4%,5.4%,168,0.1%,"98,038",Initiator
6,7,Phoenix,0.9, 13.1  /  14.6  /  4.1 ,48.2%,5.2%,194,0.1%,"93,822",Duelist
7,8,Yoru,0.84, 12.4  /  14.9  /  4 ,46.3%,4.9%,182,0.1%,"89,338",Duelist
8,9,Killjoy,0.85, 11.8  /  13.9  /  4 ,51.4%,4.4%,177,0.1%,"79,340",Sentinel
9,10,Fade,0.77, 11.4  /  14.8  /  5.6 ,48.5%,4.3%,169,0.1%,"78,295",Initiator
10,11,Brimstone,0.86, 12.3  /  14.3  /  5.6 ,49.4%,4.2%,184,0.1%,"77,214",Controller
11,12,Skye,0.8, 11.6  /  14.5  /  6.4 ,49.6%,4.2%,172,0.1%,"76,279",Initiator
12,13,Neon,0.84, 12.8  /  15.2  /  3.8 ,47.5%,4.2%,189,0.1%,"76,091",Duelist
13,14,Sova,0.8, 11.6  /  14.5  /  4.6 ,48.3%,4.1%,173,0.1%,"74,387",Initiator
14,15,Viper,0.81, 11.7  /  14.4  /  4.5 ,48.6%,3.6%,174,0.1%,"65,183",Controller
15,16,Cypher,0.85, 12  /  14.1  /  4.7 ,49.1%,2.9%,173,0.1%,"53,061",Sentinel
16,17,KAY/O,0.76, 11.3  /  14.9  /  7 ,47.1%,2.6%,172,0.1%,"48,004",Initiator
17,18,Chamber,0.89, 12.8  /  14.3  /  3.4 ,48.6%,2.1%,185,0.1%,"38,233",Sentinel
18,19,Breach,0.82, 12.2  /  14.8  /  4.9 ,48.4%,1.3%,180,0.1%,"24,051",Initiator
19,20,Harbor,0.78, 11.5  /  14.7  /  4.7 ,46.9%,1.0%,169,0.1%,"17,779",Controller
20,21,Astra,0.87, 12.1  /  13.9  /  4.3 ,47.5%,0.5%,179,0.1%,"9,473",Controller
