,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.91, 13.4  /  14.7  /  7.4 ,50.3%,12.3%,190,0.1%,"1,139,504",Sentinel
1,2,Reyna,1.15, 17.7  /  15.4  /  4.5 ,50.1%,11.2%,249,0.1%,"1,042,948",Duelist
2,3,Omen,0.99, 14.9  /  15.1  /  6.5 ,48.9%,8.9%,208,0.1%,"831,115",Controller
3,4,Jett,1.08, 17.1  /  15.8  /  3.9 ,49.1%,8.8%,240,0.1%,"821,571",Duelist
4,5,Raze,1.05, 16.5  /  15.7  /  5 ,50.1%,8.3%,242,0.1%,"774,178",Duelist
5,6,Killjoy,0.99, 14.2  /  14.3  /  4 ,49.8%,6.3%,201,0.1%,"584,320",Sentinel
6,7,Skye,0.93, 13.9  /  14.9  /  7.8 ,49.4%,5.8%,196,0.1%,"538,135",Initiator
7,8,Brimstone,0.96, 14.3  /  14.9  /  8.1 ,49.9%,5.0%,207,0.1%,"466,682",Controller
8,9,Cypher,1.0, 14.5  /  14.4  /  4.9 ,48.8%,4.7%,201,0.1%,"434,790",Sentinel
9,10,Gekko,0.92, 13.9  /  15  /  4.7 ,49.3%,3.9%,193,0.1%,"362,001",Initiator
10,11,Phoenix,1.09, 16.7  /  15.3  /  4.7 ,49.8%,3.3%,237,0.1%,"304,601",Duelist
11,12,Viper,0.98, 14.3  /  14.7  /  5.5 ,48.5%,3.0%,202,0.1%,"274,352",Controller
12,13,KAY/O,0.9, 13.8  /  15.4  /  8.3 ,45.8%,2.7%,200,0.1%,"246,358",Initiator
13,14,Sova,0.97, 14.3  /  14.8  /  5.3 ,48.2%,2.6%,204,0.1%,"245,739",Initiator
14,15,Fade,0.93, 14  /  15  /  6 ,48.5%,2.6%,197,0.1%,"237,429",Initiator
15,16,Chamber,1.05, 15.7  /  14.9  /  3.2 ,47.2%,2.5%,216,0.1%,"234,797",Sentinel
16,17,Breach,0.93, 14.3  /  15.4  /  6.2 ,47.9%,2.3%,202,0.1%,"213,563",Initiator
17,18,Astra,1.03, 15  /  14.6  /  6.1 ,49.3%,1.9%,208,0.1%,"178,379",Controller
18,19,Neon,0.97, 15.7  /  16.1  /  4.2 ,47.2%,1.7%,223,0.1%,"154,641",Duelist
19,20,Yoru,1.0, 15.4  /  15.5  /  4.5 ,46.6%,1.5%,217,0.1%,"137,249",Duelist
20,21,Harbor,0.9, 13.6  /  15.2  /  5.7 ,45.2%,0.7%,192,0.1%,"65,396",Controller
