,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.05, 17  /  16.2  /  4.8 ,49.4%,12.9%,243,0.1%,"499,055",Duelist
1,2,Jett,1.08, 17.4  /  16.1  /  3.5 ,48.6%,11.1%,236,0.1%,"429,073",Duelist
2,3,Brimstone,0.98, 14.7  /  15  /  8.4 ,50.7%,10.6%,205,0.1%,"408,812",Controller
3,4,Skye,0.96, 14.5  /  15.2  /  7.6 ,49.4%,10.4%,198,0.1%,"401,325",Initiator
4,5,Reyna,1.14, 17.9  /  15.7  /  4.2 ,49.7%,8.0%,243,0.1%,"308,704",Duelist
5,6,Sage,0.94, 14  /  14.9  /  6.9 ,51.3%,6.2%,192,0.1%,"239,128",Sentinel
6,7,Cypher,0.99, 14.5  /  14.7  /  4.6 ,48.5%,5.8%,194,0.1%,"226,027",Sentinel
7,8,Omen,0.97, 14.8  /  15.3  /  7.3 ,46.9%,5.4%,203,0.1%,"209,328",Controller
8,9,Killjoy,0.99, 14.3  /  14.4  /  3.5 ,49.0%,5.3%,196,0.1%,"203,425",Sentinel
9,10,Chamber,1.08, 16.2  /  15  /  2.7 ,48.1%,4.6%,214,0.1%,"178,661",Sentinel
10,11,Sova,1.01, 14.8  /  14.7  /  5.7 ,49.2%,3.9%,205,0.1%,"149,236",Initiator
11,12,Fade,0.97, 14.7  /  15.1  /  6.5 ,48.7%,2.8%,200,0.1%,"107,685",Initiator
12,13,Phoenix,1.1, 17.2  /  15.6  /  4.5 ,50.1%,2.3%,237,0.1%,"90,551",Duelist
13,14,Viper,1.03, 15.3  /  14.8  /  5.7 ,48.6%,2.2%,210,0.1%,"85,847",Controller
14,15,Gekko,0.95, 14.4  /  15.2  /  4.7 ,49.0%,2.1%,194,0.1%,"80,571",Initiator
15,16,Astra,1.02, 15.2  /  14.8  /  6.6 ,48.1%,1.5%,205,0.1%,"58,052",Controller
16,17,KAY/O,0.92, 14.4  /  15.7  /  8.9 ,44.0%,1.5%,202,0.1%,"57,349",Initiator
17,18,Yoru,1.04, 16.5  /  15.9  /  4.4 ,48.3%,1.3%,226,0.1%,"49,263",Duelist
18,19,Breach,0.93, 14.5  /  15.6  /  6.8 ,46.5%,1.2%,199,0.1%,"46,792",Initiator
19,20,Harbor,0.91, 14  /  15.4  /  6 ,43.7%,0.6%,190,0.1%,"23,962",Controller
20,21,Neon,0.97, 16  /  16.5  /  4 ,46.1%,0.5%,221,0.1%,"20,580",Duelist
